sheet,source_csv,data_rows,columns,scope,description
"table3_NIBP_mechanisms","outputs/tables/table3_nibp_mechanisms.csv","12","18","aggregate_public_safe","table3 nibp mechanisms"
"table4_Strat_efficiency_frontie","outputs/tables/table4_strategy_efficiency_frontier.csv","9","15","aggregate_public_safe","table4 strategy efficiency frontier"
"table4_Strat_frontier","outputs/tables/table4_strategy_frontier.csv","9","15","aggregate_public_safe","table4 strategy frontier"
"target_Pop_table","outputs/tables/target_population_table.csv","2","2","aggregate_public_safe","target population table"
"Window_Sensitivity","outputs/tables/time_window_sensitivity_summary.csv","2","5","aggregate_public_safe","time window sensitivity summary"
"Track_Selection","outputs/tables/track_selection_audit.csv","6","7","aggregate_public_safe","track selection audit"
"INSPIRE_Balance","outputs/tables/transportability_smd.csv","4","6","aggregate_public_safe","transportability smd"
"INSPIRE_Weighted_Est","outputs/tables/vitaldb_weighted_hdr_odr.csv","1","12","aggregate_public_safe","vitaldb weighted hdr odr"
"Wave_coverage_flow","outputs/tables/waveform_coverage_flow.csv","10","7","aggregate_public_safe","waveform coverage flow"
"Wave_Sens_hdr_odr","outputs/tables/waveform_sensitivity_hdr_odr.csv","10","13","aggregate_public_safe","waveform sensitivity hdr odr"
