threshold,interval_min,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,HDR,ODR,NetBias,hidden_auc_display_unavailable_total,hidden_auc_display_valid_total,true_auc_display_valid_total,HDR_display_valid,ODR_display_valid,HDR_unavailable_component,HDR_valid_mismatch_component,normotensive_display_discordance_min,hypotensive_display_discordance_min,reference_hypotension_with_display_unavailable_min,normotensive_display_min_per_anesthesia_hour,normotensive_display_discordance_min_per_anesthesia_hour,hypotensive_display_discordance_min_per_anesthesia_hour,reference_hypotension_with_display_unavailable_min_per_anesthesia_hour,display_unavailable_fraction,episode_sensitivity,HDR_ci_low,HDR_ci_high,ODR_ci_low,ODR_ci_high,NetBias_ci_low,NetBias_ci_high,HDR_display_valid_ci_low,HDR_display_valid_ci_high,ODR_display_valid_ci_low,ODR_display_valid_ci_high,HDR_unavailable_component_ci_low,HDR_unavailable_component_ci_high,HDR_valid_mismatch_component_ci_low,HDR_valid_mismatch_component_ci_high,normotensive_display_discordance_ci_low,normotensive_display_discordance_ci_high,hypotensive_display_discordance_ci_low,hypotensive_display_discordance_ci_high,reference_hypotension_with_display_unavailable_ci_low,reference_hypotension_with_display_unavailable_ci_high
55.0,1.0,2435,65826.83333333333,62557.09722222222,32430.347222222223,29160.61111111111,0.4926615117273182,0.4429897297876668,-0.0496717819396514,11824.055555555557,20606.291666666664,54002.777777777774,0.3815783653104264,0.5399835399413611,0.1796236421655133,0.3130378695618048,1862.4444444444443,2221.5,484.3611111111111,0.1928765584847648,0.1928765584847648,0.2300607011135393,0.0501609078615148,0.0020820134477743,1.0,0.4717328764207174,0.5127545564803715,0.4235348459239745,0.4607817950380766,-0.0540998537827277,-0.045535015652178,0.360894130699375,0.4007178435897861,0.5123818114698664,0.5670186311340546,0.1696026658187982,0.1910220265247595,0.297606693072065,0.3273682938274768,0.1824698426323563,0.2041766695558966,0.2197734462399562,0.2415154411702841,0.0484090195112623,0.0520659330084869
55.0,2.5,2435,65826.83333333333,61718.88888888889,44952.83888888889,40844.894444444435,0.6828953576007083,0.6204900399448721,-0.0624053176558361,18946.19444444444,26006.64444444444,46880.63888888889,0.5547416814451357,0.8712529396463712,0.2878187129024553,0.3950766446982529,2709.844444444444,3364.4666666666662,813.0111111111111,0.2806341268501095,0.2806341268501095,0.3484274410112383,0.0841962215779067,0.0056289785121848,0.7519071310116087,0.6585083870467846,0.7051092363208078,0.5984429589618717,0.6405279201369606,-0.0679998239498716,-0.0568724569587848,0.5265902523113513,0.5811115590138931,0.8280631796692735,0.9142810701031788,0.2719639825772757,0.3030969671039165,0.3775066078309294,0.4123358241483547,0.2644098159722509,0.2980024564304744,0.331804518372548,0.3666900515642479,0.0806346106907466,0.0877275531591836
55.0,3.0,2435,65826.83333333333,61580.22222222222,47019.31018518518,42772.69907407407,0.7142878945291082,0.6497760397721407,-0.0645118547569675,20280.88888888889,26738.421296296296,45545.94444444444,0.5870648116411552,0.9391110360275198,0.3080945544834385,0.4061933400456698,2862.675925925926,3580.2129629629626,882.4814814814814,0.2964615037494346,0.2964615037494346,0.3707703373374033,0.0913906407154375,0.0068192825828484,0.683605780620706,0.6904980046308838,0.7377268194962168,0.6276061921095174,0.6701912669636111,-0.0709417148638431,-0.0587940292393305,0.5568469881835648,0.6150056180271516,0.8944405028544276,0.987261985751229,0.2928029631504115,0.3260384327006635,0.385759818080875,0.4247113959798592,0.2772518494476365,0.3144132161334202,0.3507977488648554,0.3893612577318306,0.0871014894565445,0.0956904747962196
55.0,5.0,2435,65826.83333333333,61570.11111111111,52196.225000000006,47939.50277777777,0.792932340155104,0.7282668837345122,-0.0646654564205919,24012.73611111111,28183.48888888889,41814.09722222222,0.6740188300397095,1.1464913979369664,0.3647864388298254,0.4281459013252786,3224.8166666666666,4146.277777777777,1092.4833333333331,0.3339651511573082,0.3339651511573082,0.4293925602372466,0.1131386367866411,0.0115009360161237,0.50075811419095,0.7678969476865211,0.8131092099300875,0.7056561732009629,0.7469690579675997,-0.0718390709721302,-0.0586494293129081,0.640590100239216,0.7037332804820352,1.0885589749357285,1.2024962383207316,0.3453686479643148,0.3849269681902266,0.4072624971343785,0.4487094235192176,0.3133406092464237,0.3563789314561789,0.4075963864589509,0.4534157231326303,0.1075053493856695,0.1184161796077213
55.0,10.0,2435,65826.83333333333,61455.54861111111,57233.96111111111,52862.67638888888,0.8694624701341821,0.8030566520069914,-0.0664058181271906,28758.1125,28475.848611111112,37068.72083333333,0.7681907541170062,1.4260723111155522,0.4368752231232957,0.4325872470108863,3497.1083333333336,4734.655555555555,1431.9555555555555,0.3621639410473409,0.3621639410473409,0.4903255352879699,0.1482947103644109,0.0231097855623753,0.3127339493011135,0.8505865663839545,0.8888676313044542,0.7858094803732508,0.8203015137193459,-0.0742090642468753,-0.0591289072860422,0.7378091394854353,0.7990312153355649,1.359130038820039,1.4967575839839151,0.4161918449619677,0.4577556254655984,0.4123373849043761,0.4531475479855796,0.3356034094819368,0.3915570951554207,0.4612068875199601,0.5215369253102995,0.1407523406521181,0.1562292479330387
60.0,1.0,2435,120110.5,116199.31944444444,49180.19444444444,45269.01388888888,0.409457911210464,0.3768947251813029,-0.0325631860291611,14389.472222222224,34790.72222222222,105721.02777777778,0.3290804389014379,0.428193093090647,0.1198019508887418,0.2896559603217222,3652.805555555556,4055.0277777777774,533.1944444444445,0.3782880968456191,0.3782880968456191,0.4199426214676718,0.0552181353674242,0.0020820134477743,1.0,0.3943923425298739,0.4249590855923009,0.3632749304403916,0.3909207381648396,-0.0353999286583372,-0.0299739713127742,0.315813678621954,0.3428293039787887,0.4102237799400716,0.4472063038900626,0.1126109087737604,0.1273642612492267,0.2791220501346342,0.300887738220028,0.3615279309435162,0.3959397094687931,0.4029120524561747,0.4377600685174235,0.0533593609560103,0.0570906009444534
60.0,2.5,2435,120110.5,115174.68333333332,71530.43333333332,66594.61666666667,0.5955385526938387,0.5544445878309279,-0.0410939648629108,23391.35555555555,48139.07777777777,96719.14444444444,0.4977202605987577,0.6885360395729997,0.1947486319310597,0.400789920762779,5914.955555555555,6683.122222222221,942.522222222222,0.6125585515041799,0.6125585515041799,0.6921106387899705,0.0976085182352174,0.0056289785121848,0.79651728553137,0.5753943054789009,0.6139958250003461,0.536371302982288,0.5710156553423231,-0.0451093831126379,-0.036958329935073,0.478528571206776,0.5165050466367798,0.6589025630749251,0.7173009853563121,0.1830701085231813,0.2070669863893434,0.387049746643774,0.4146861197116049,0.5821141406873936,0.6424624602534639,0.6602661220026866,0.7221540913971431,0.0936942831021564,0.1016544343130426
60.0,3.0,2435,120110.5,114987.86574074072,75612.58796296296,70489.95370370371,0.6295252118920741,0.586875866004252,-0.042649345887822,25145.53240740741,50467.055555555555,94964.96759259258,0.531428134341743,0.7422732349692502,0.2093533238759926,0.4201718880160814,6393.185185185184,7242.62037037037,1037.0462962962963,0.6620844771786615,0.6620844771786615,0.7500528113016474,0.1073975233009791,0.0068192825828484,0.7367335325081804,0.6097428292016002,0.6474385189908423,0.56916210923764,0.6029447344931383,-0.0464098943468104,-0.0386534438123532,0.5101918496452763,0.5495314277388766,0.7129310516538547,0.7717818076429488,0.1971641986805262,0.2229256109691089,0.4050275440183012,0.4335906734032729,0.6312612173080238,0.694058711552002,0.7185333780778957,0.7822247340221775,0.1030501706570122,0.1121748225753087
60.0,5.0,2435,120110.5,114906.34444444445,86197.83055555556,80993.67499999999,0.7176544145229231,0.6743263494865144,-0.0433280650364087,30198.48055555555,55999.35,89912.01944444444,0.6228238487580776,0.9008103199155147,0.2514224864233814,0.4662319280995416,7655.35,8793.65,1344.072222222222,0.7927954932565986,0.7927954932565986,0.9106789486144836,0.1391934268699875,0.0115009360161237,0.5651301749893298,0.6973222987106832,0.7350912826614593,0.6563527729276766,0.6903165616337826,-0.0479273523238283,-0.0386602382571741,0.6006028704921336,0.6435064716187311,0.8640221470906354,0.936523031943144,0.2359680453114488,0.2668955731395706,0.4508899222612937,0.4809931039517719,0.7500014028551494,0.830774300307051,0.865875484819952,0.9486223012881402,0.1323021017058718,0.145622262465054
60.0,10.0,2435,120110.5,114611.22916666669,97292.96805555554,91793.69722222222,0.8100288322466024,0.7642437357451866,-0.0457850965014158,37329.680555555555,59963.2875,82780.81944444444,0.7243620913929505,1.108876402024825,0.3107944813780273,0.4992343508685751,8873.875,10553.102777777778,1938.9444444444443,0.9189871276587482,0.9189871276587482,1.0928895899071778,0.2007989729052851,0.0231097855623753,0.3737046521553563,0.7919755019561424,0.8275103927819595,0.747575376827715,0.7808099529610638,-0.0510722196042375,-0.0410204580917968,0.7014324635783564,0.7473074924526607,1.064168421287539,1.1541614206797357,0.2923956820363597,0.3274569715352311,0.4842392124941569,0.5144908241219601,0.8704727243128831,0.971462926583346,1.0421880838972355,1.1465855502766005,0.1911634086638815,0.2104571408180078
65.0,1.0,2435,262221.8333333333,257644.55555555556,79485.68055555556,74908.40277777778,0.3031238075988672,0.2856680613721249,-0.0174557462267423,17230.333333333332,62255.34722222222,244991.5,0.2541122741900116,0.3057591907383635,0.0657089957548665,0.2374148118440006,6884.527777777777,7344.25,592.3611111111111,0.7129683940541043,0.7129683940541043,0.7605776746131494,0.0613454929257787,0.0020820134477743,1.0,0.2936000766997126,0.3131568551298618,0.2767595390629442,0.2949429558748526,-0.019027712514179,-0.0159929465501042,0.2459662419858726,0.2626697011720565,0.2953381147779436,0.3165206693242894,0.0619995713453273,0.0699737481877914,0.2302062407767215,0.2448484987158218,0.6854098444743217,0.73977125267547,0.7328207365539844,0.7877237185425093,0.0594747134336016,0.0634470023488429
65.0,2.5,2435,262221.8333333333,256349.77777777775,122980.5611111111,117108.50555555554,0.4689943607967215,0.4466008953826838,-0.0223934654140377,28600.705555555556,94379.85555555556,233621.1277777778,0.4039868159755242,0.5012753198715403,0.1090706490454541,0.3599237117512674,11777.22222222222,12691.455555555554,1113.711111111111,1.2196605904183662,1.2196605904183662,1.3143394838003308,0.1153370061040563,0.0056289785121848,0.8490765937375278,0.4544730029985244,0.4825862654172647,0.4332426473987431,0.4595079889310925,-0.024583999578373,-0.0204216065415385,0.3910936255204162,0.4171557015940434,0.483497481671849,0.5184075720710479,0.1019975704406868,0.1161688893658761,0.3488748280350819,0.3701252182908668,1.1736645455284709,1.2652288021576208,1.2665019778862252,1.3604599222563911,0.1109054454424917,0.119641378446695
