threshold,interval_min,n_cases_total,n_clusters_total,bootstrap_cluster,bootstrap_reps,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high,display_group,order,duration_bin,detected_with_at_least_2min,detected_with_1_to_less_than_2min,detected_with_less_than_1min,completely_missed
65.0,5.0,2435,2380,subjectid,1000,1899,9187.0,6042.866666666667,3144.133333333333,0.657762780740902,0.6497059432223731,0.6657682756848902,0.342237219259098,0.3342317243151098,0.3502940567776268,0.5497478320815645,0.5399051012980192,0.5594620795032317,0.357026232720148,0.3461822795506273,0.3678682110543115,0.3486012684339906,0.3312029294062873,0.3639561155790825,1.090769097815974,1.0659130872956937,1.1163934445700343,3.319968631517786,3.1849934617926943,3.4813678201493645,1.6121000334646176,1.5747888421006837,1.6492028141832291,"<65
All",0,,0.357026232720148,0.19272159936141653,0.10801494865933747,0.342237219259098
65.0,5.0,2435,2380,subjectid,1000,1664,5438.0,2672.5666666666666,2765.4333333333334,0.4914613215643006,0.4847089512755791,0.4979808781561119,0.5085386784356994,0.5020191218438881,0.5152910487244209,0.361303175186956,0.3529939865130967,0.369505305944057,0.1084957705038617,0.1019277902511701,0.1143568088130622,0.6306859928838735,0.6176844390964489,0.6434473713834143,0.4646781495940232,0.4498089012903918,0.4792558258340028,1.3382869567748024,1.320358005717269,1.3533395464925548,1.675842199134415,1.6276714635228595,1.729270178287334,"<65
1 to <3",1,1-<3 min,0.1084957705038617,0.25280740468309426,0.13015814637734463,0.5085386784356994
65.0,5.0,2435,2380,subjectid,1000,1034,1931.0,1552.3,378.7,0.8038839979285344,0.797873339414439,0.8088381044841081,0.1961160020714655,0.1911618955158919,0.2021266605855608,0.6766442257897463,0.6689299680228078,0.6830474307296254,0.5248748489556361,0.5142526985266563,0.5336402542611511,0.4530382459510104,0.4427055808732001,0.4633128097333933,1.3239243559735734,1.2883339776861062,1.3575099813996652,2.5090689800797383,2.474064048242425,2.539959563642066,1.6502716399321435,1.5920189964081797,1.7109251184854792,"<65
3 to <5",2,3-<5 min,0.5248748489556361,0.15176937683411018,0.12723977213878812,0.1961160020714655
65.0,5.0,2435,2380,subjectid,1000,902,1818.0,1818.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9786395306197286,0.9765076610022454,0.9808140231878828,0.922148881554822,0.9168573420670476,0.927863527221208,0.1699852045064825,0.1606239224111898,0.1804361126382782,1.8120798190930203,1.778249425766003,1.8484389219315296,6.925543943283217,6.6257941053701055,7.235848951289731,1.4858024691358025,1.4351956039736906,1.5387424842451385,"<65
≥5",3,>=5 min,0.922148881554822,0.05649064906490664,0.021360469380271363,0.0
55.0,5.0,2435,2380,subjectid,1000,677,1113.0,452.9,660.1,0.4069182389937106,0.394272023767742,0.4201628045631213,0.5930817610062893,0.5798371954368787,0.6057279762322579,0.2584905660377358,0.2435095127327088,0.2736304548996687,0.05717280622941,0.048862498493857,0.0660847541388683,0.7064217983732892,0.6798482144796472,0.7297773092128917,0.5567822182969014,0.5230286074343254,0.589208709691336,1.160950418291995,1.1276856804060122,1.195742723299391,2.1905865901229116,2.066228230159055,2.313682461198353,"<55
1 to <3",4,1-<3 min,0.05717280622941,0.20131775980832578,0.1484276729559748,0.5930817610062893
