art_map_stratum,conditioning_variable,paired_events,cases,mean_bias,sd_bias,median_abs_error,mean_bias_ci_low,mean_bias_ci_high,interpretation
<55,art_map_ref,162,83,29.59722222222222,26.871029245879644,22.75,23.289728033042906,35.85174224705475,conditional paired difference; not calibration bias
55-60,art_map_ref,235,112,16.32127659574468,18.26433620463162,11.0,13.268073303701646,19.037719011506276,conditional paired difference; not calibration bias
60-65,art_map_ref,601,187,10.9346921797005,16.38411319785385,9.0,8.971296106026275,13.076002813658423,conditional paired difference; not calibration bias
65-75,art_map_ref,2396,287,5.236748747913189,14.069821296088328,8.0,3.970295798126845,6.582846739156451,conditional paired difference; not calibration bias
>=75,art_map_ref,7481,343,-3.5698436037962837,16.376434834133054,9.0,-4.674151427624949,-2.4759114507189928,conditional paired difference; not calibration bias
