threshold,interval_min,n_cases_total,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high,panel,duration_bin
55.0,1.0,2435,748,1407.0,1407.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.3578535891968728,0.3516493266730457,0.3644222746477935,,,,,,,sampling_interval,
55.0,2.5,2435,748,1407.0,1057.9333333333334,349.06666666666666,0.7519071310116087,0.7374569353721505,0.7651133006849468,0.2480928689883913,0.2348866993150531,0.2625430646278495,,,,,,,,,,0.7210704308189972,0.6976368329729201,0.7439011708575084,,,,,,,sampling_interval,
55.0,3.0,2435,748,1407.0,961.8333333333334,445.16666666666663,0.683605780620706,0.6679527939624516,0.6999857169951914,0.3163942193792939,0.3000142830048086,0.3320472060375484,,,,,,,,,,0.7916113132713375,0.7630664926647964,0.8197697800232229,,,,,,,sampling_interval,
55.0,5.0,2435,748,1407.0,704.5666666666666,702.4333333333333,0.50075811419095,0.4819645647820151,0.5200260098268867,0.4992418858090499,0.4799739901731132,0.5180354352179849,,,,,,,,,,0.9595259497563514,0.9125723120570484,1.011854261003552,,,,,,,sampling_interval,
55.0,10.0,2435,748,1407.0,440.01666666666665,966.9833333333332,0.3127339493011135,0.2948867514556504,0.3320787760116716,0.6872660506988865,0.6679212239883282,0.7051132485443495,,,,,,,,,,1.079384619269472,0.992871997879292,1.1631902966081331,,,,,,,sampling_interval,
60.0,1.0,2435,1347,3905.0,3905.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.3560748328353962,0.3526201854392657,0.3594504561542803,,,,,,,sampling_interval,
60.0,2.5,2435,1347,3905.0,3110.4,794.6,0.79651728553137,0.7885731345689373,0.804483146262271,0.2034827144686299,0.195516853737729,0.2114268654310627,,,,,,,,,,0.7407050182898948,0.7264964538280624,0.7544204531449169,,,,,,,sampling_interval,
60.0,3.0,2435,1347,3905.0,2876.9444444444443,1028.0555555555557,0.7367335325081804,0.7283063154513955,0.7459420668957316,0.2632664674918196,0.2540579331042684,0.2716936845486045,,,,,,,,,,0.8232177915097679,0.8050772302728413,0.8425299131100886,,,,,,,sampling_interval,
60.0,5.0,2435,1347,3905.0,2206.833333333333,1698.1666666666667,0.5651301749893298,0.5535180871582563,0.5767117639290066,0.4348698250106701,0.4232882360709935,0.4464819128417436,,,,,,,,,,1.0210130151297736,0.9853606782084756,1.0558007056544034,,,,,,,sampling_interval,
60.0,10.0,2435,1347,3905.0,1459.3166666666666,2445.6833333333334,0.3737046521553563,0.3611102389805148,0.3870325769142128,0.6262953478446436,0.6129674230857872,0.6388897610194852,,,,,,,,,,1.1432253299679835,1.076445819388368,1.208278362130179,,,,,,,sampling_interval,
