threshold,interval_min,n_cases,cases_with_true_auc_gt0,true_auc_total,median_true_auc,normotensive_display_discordance_total,hypotensive_display_discordance_total
55.0,1.0,2435,2254,65826.83333333333,15.666666666666666,2346.805555555555,3607.9166666666665
55.0,2.5,2435,2254,65826.83333333333,15.666666666666666,3522.8555555555554,4152.9
55.0,3.0,2435,2254,65826.83333333333,15.666666666666666,3745.1574074074074,4279.935185185185
55.0,5.0,2435,2254,65826.83333333333,15.666666666666666,4317.3,4641.022222222222
55.0,10.0,2435,2254,65826.83333333333,15.666666666666666,4929.063888888889,5051.9222222222215
60.0,1.0,2435,2348,120110.5,28.833333333333332,4186.0,5656.972222222222
60.0,2.5,2435,2348,120110.5,28.833333333333332,6857.477777777777,7636.055555555555
60.0,3.0,2435,2348,120110.5,28.833333333333332,7430.231481481481,8098.055555555555
60.0,5.0,2435,2348,120110.5,28.833333333333332,8999.422222222222,9438.027777777777
60.0,10.0,2435,2348,120110.5,28.833333333333332,10812.819444444443,11037.316666666666
65.0,1.0,2435,2393,262221.8333333333,63.666666666666664,7476.888888888889,9346.527777777777
65.0,2.5,2435,2393,262221.8333333333,63.666666666666664,12890.933333333332,14029.566666666666
65.0,3.0,2435,2393,262221.8333333333,63.666666666666664,14192.324074074073,15209.25
65.0,5.0,2435,2393,262221.8333333333,63.666666666666664,18039.105555555554,18784.783333333333
65.0,10.0,2435,2393,262221.8333333333,63.666666666666664,23128.855555555554,23630.963888888888
