threshold,interval_min,n_cases,n_clusters,bootstrap_cluster,bootstrap_reps,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,HDR,ODR,NetBias,hidden_auc_display_unavailable_total,hidden_auc_display_valid_total,true_auc_display_valid_total,HDR_display_valid,ODR_display_valid,HDR_unavailable_component,HDR_valid_mismatch_component,normotensive_display_discordance_min,hypotensive_display_discordance_min,reference_hypotension_with_display_unavailable_min,normotensive_display_min_per_anesthesia_hour,normotensive_display_discordance_min_per_anesthesia_hour,hypotensive_display_discordance_min_per_anesthesia_hour,reference_hypotension_with_display_unavailable_min_per_anesthesia_hour,display_unavailable_fraction,episode_sensitivity,HDR_ci_low,HDR_ci_high,ODR_ci_low,ODR_ci_high,NetBias_ci_low,NetBias_ci_high,HDR_display_valid_ci_low,HDR_display_valid_ci_high,ODR_display_valid_ci_low,ODR_display_valid_ci_high,HDR_unavailable_component_ci_low,HDR_unavailable_component_ci_high,HDR_valid_mismatch_component_ci_low,HDR_valid_mismatch_component_ci_high,normotensive_display_discordance_ci_low,normotensive_display_discordance_ci_high,hypotensive_display_discordance_ci_low,hypotensive_display_discordance_ci_high,reference_hypotension_with_display_unavailable_ci_low,reference_hypotension_with_display_unavailable_ci_high
55.0,1.0,2435,2380,subjectid,1000,65826.83333333333,62557.09722222222,32430.34722222222,29160.61111111111,0.4926615117273182,0.4429897297876668,-0.049671781939651403,11824.055555555555,20606.291666666664,54002.77777777777,0.38157836531042644,0.5399835399413612,0.17962364216551338,0.31303786956180485,1862.4444444444443,2221.5,484.3611111111111,0.19287655848476487,0.19287655848476487,0.23006070111353938,0.050160907861514815,0.002082013447774392,1.0,0.47310553289497953,0.513709640216703,0.4261338013127693,0.4625887159979253,-0.05398763982109884,-0.04564453019503439,0.36252576273520853,0.40136799900393344,0.5139080150235633,0.5698755501983594,0.16960107530300916,0.19057343908966717,0.29852003904815066,0.32743341728642156,0.18197067096968797,0.20390465206863692,0.21905247489895024,0.2409101104293657,0.04826316959926549,0.05203527602577558
55.0,2.5,2435,2380,subjectid,1000,65826.83333333333,61718.88888888889,44952.83888888889,40844.89444444444,0.6828953576007083,0.6204900399448722,-0.06240531765583608,18946.194444444445,26006.644444444446,46880.63888888889,0.5547416814451358,0.8712529396463714,0.28781871290245536,0.395076644698253,2709.844444444444,3364.4666666666662,813.0111111111111,0.2806341268501095,0.2806341268501095,0.34842744101123835,0.08419622157790677,0.005628978512184807,0.7519071310116087,0.6597847259254314,0.7048002099454042,0.600018144233988,0.6407177459872795,-0.06851645786566414,-0.05687372345069321,0.5285473392557228,0.5817909136250543,0.8298913774135855,0.9143135508102933,0.2720183764652222,0.30436813133120383,0.37802478113528676,0.41285338870078186,0.2634978701684478,0.2976427829279874,0.3308578039315157,0.3651727656386708,0.08079942310096046,0.08771580467288935
55.0,3.0,2435,2380,subjectid,1000,65826.83333333333,61580.22222222222,47019.31018518518,42772.69907407407,0.7142878945291082,0.6497760397721407,-0.06451185475696755,20280.88888888889,26738.421296296292,45545.94444444444,0.5870648116411552,0.9391110360275198,0.3080945544834385,0.40619334004566976,2862.675925925926,3580.2129629629626,882.4814814814815,0.29646150374943464,0.29646150374943464,0.3707703373374033,0.09139064071543757,0.006819282582848448,0.683605780620706,0.6915527192080498,0.736660207710148,0.6282709408879219,0.6696560231568599,-0.07069399511023342,-0.058471032436154424,0.5587600645067744,0.6146942042785166,0.8935700958381894,0.9850079828447449,0.2913675588795088,0.32494550816442863,0.3872940078530647,0.42494799678249284,0.27680419049964594,0.3170761108025971,0.3508345424948193,0.39166452671676744,0.08715555669531755,0.09558484398299853
55.0,5.0,2435,2380,subjectid,1000,65826.83333333333,61570.11111111111,52196.22499999999,47939.50277777777,0.7929323401551038,0.7282668837345122,-0.0646654564205917,24012.73611111111,28183.488888888885,41814.09722222222,0.6740188300397094,1.1464913979369664,0.3647864388298254,0.4281459013252785,3224.8166666666666,4146.277777777777,1092.4833333333331,0.33396515115730824,0.33396515115730824,0.42939256023724665,0.11313863678664107,0.011500936016123713,0.50075811419095,0.7691259433720944,0.8141846678423564,0.7065897298522932,0.7470574679078703,-0.07142534037841289,-0.05813101176733881,0.6422615718677663,0.7037644975194818,1.0861132533704847,1.201904419839202,0.3446108636070226,0.38396674410854503,0.4060627366837993,0.4470483277634709,0.3101247681769956,0.35737800073601816,0.40467306419775523,0.4537348668539805,0.10772980495887773,0.11934656719624363
55.0,10.0,2435,2380,subjectid,1000,65826.83333333333,61455.54861111111,57233.9611111111,52862.67638888889,0.869462470134182,0.8030566520069915,-0.06640581812719046,28758.1125,28475.84861111111,37068.72083333333,0.7681907541170061,1.4260723111155524,0.43687522312329574,0.4325872470108863,3497.108333333333,4734.655555555555,1431.9555555555555,0.3621639410473409,0.3621639410473409,0.49032553528796996,0.14829471036441091,0.02310978556237538,0.3127339493011135,0.8464831349248839,0.8878958821231631,0.7844655495316214,0.8212437285719938,-0.07427537627569954,-0.05901572368330901,0.7340345026863779,0.7980606677710075,1.3517739394721746,1.4977762437613837,0.41476023762980285,0.45855081725238817,0.41222229259158455,0.4533181932544967,0.33659418416284465,0.3901345080353244,0.46188729280492485,0.5195445801192171,0.1407653097156921,0.1557223775036679
60.0,1.0,2435,2380,subjectid,1000,120110.5,116199.31944444444,49180.19444444444,45269.01388888889,0.409457911210464,0.37689472518130296,-0.03256318602916104,14389.472222222223,34790.72222222222,105721.02777777778,0.3290804389014379,0.4281930930906471,0.1198019508887418,0.28965596032172225,3652.8055555555557,4055.027777777778,533.1944444444443,0.3782880968456191,0.3782880968456191,0.41994262146767186,0.05521813536742425,0.002082013447774392,1.0,0.39320737808897843,0.42422418507055737,0.361442685612662,0.39040308747912417,-0.03557062131129441,-0.02986213376232581,0.31464032018052046,0.34328058917875925,0.4085519008612746,0.44623448804535365,0.1126078262644425,0.12765599131861996,0.2783502975521628,0.30112292161940013,0.3619813348988655,0.39581654900633123,0.4027941766430589,0.43765018412619244,0.05336998048762158,0.05721501692008839
60.0,2.5,2435,2380,subjectid,1000,120110.49999999999,115174.68333333332,71530.43333333332,66594.61666666665,0.5955385526938388,0.5544445878309279,-0.041093964862910955,23391.355555555554,48139.07777777778,96719.14444444444,0.49772026059875774,0.6885360395729996,0.1947486319310598,0.40078992076277914,5914.955555555554,6683.122222222222,942.5222222222221,0.6125585515041799,0.6125585515041799,0.6921106387899706,0.09760851823521746,0.005628978512184807,0.79651728553137,0.5752502607970118,0.6156474262578097,0.5357735133627702,0.5718303963987782,-0.04519507280882906,-0.036827269994727095,0.4775896350254332,0.5176630166904993,0.6582774948658555,0.7185939541882586,0.1822840762493571,0.20749949292032782,0.38735453080156923,0.41404770180999473,0.5829656348773761,0.643993017704096,0.6625239762314066,0.7231164905482558,0.09370336437813193,0.10156652163778872
60.0,3.0,2435,2380,subjectid,1000,120110.49999999999,114987.86574074074,75612.58796296295,70489.95370370371,0.629525211892074,0.586875866004252,-0.042649345887821974,25145.5324074074,50467.05555555555,94964.96759259258,0.5314281343417429,0.7422732349692502,0.20935332387599256,0.42017188801608146,6393.185185185185,7242.62037037037,1037.046296296296,0.6620844771786616,0.6620844771786616,0.7500528113016474,0.10739752330097914,0.006819282582848448,0.7367335325081804,0.6092795400303997,0.6488149500390432,0.567796504804383,0.6048476840260337,-0.046719657631995946,-0.03884679160758325,0.5106697277748936,0.5514382161818439,0.7098197098431706,0.7742725598553621,0.19631519495449656,0.22135298129970157,0.40500133049381437,0.43528913467844754,0.6311338047802811,0.6965076910467661,0.7178075508113232,0.7851414632590051,0.10262786341597781,0.11195630252957421
60.0,5.0,2435,2380,subjectid,1000,120110.49999999999,114906.34444444443,86197.83055555556,80993.67499999999,0.7176544145229232,0.6743263494865145,-0.04332806503640871,30198.48055555555,55999.35,89912.01944444444,0.6228238487580776,0.9008103199155149,0.25142248642338144,0.4662319280995417,7655.349999999999,8793.649999999998,1344.072222222222,0.7927954932565985,0.7927954932565985,0.9106789486144834,0.13919342686998754,0.011500936016123713,0.5651301749893299,0.6981248578175531,0.7350828076491782,0.6569467412297969,0.6909143718094332,-0.04757842162813129,-0.03867739880927275,0.6016076319516864,0.6435872661428386,0.8636087583652284,0.9346796152121674,0.2351623425934353,0.2655861188868791,0.45056237286080375,0.48190803913948216,0.7540650383937897,0.834390145167016,0.8710831539915043,0.9529222224433149,0.13262033678033006,0.14561966729146525
60.0,10.0,2435,2380,subjectid,1000,120110.49999999999,114611.22916666667,97292.96805555555,91793.69722222222,0.8100288322466026,0.7642437357451866,-0.045785096501416024,37329.680555555555,59963.28749999999,82780.81944444444,0.7243620913929505,1.108876402024825,0.3107944813780274,0.49923435086857515,8873.875,10553.102777777778,1938.9444444444443,0.9189871276587482,0.9189871276587482,1.0928895899071778,0.20079897290528514,0.02310978556237538,0.3737046521553564,0.791437462338344,0.8271993299927884,0.7477867619640436,0.7797897408047422,-0.05151582172957185,-0.04090991324878732,0.7007122083337193,0.7459618196945763,1.0659199599984779,1.1559915832066128,0.2936910156166333,0.32909147797521987,0.48325326953226005,0.5151740029620909,0.8685534379572503,0.9683827487502668,1.039670731819781,1.1453416032384747,0.19110091788609024,0.21071081848057055
