art_map_stratum,paired_events,cases,mean_bias,sd_bias,median_abs_error,mean_bias_ci_low,mean_bias_ci_high,loa_low,loa_high
<55,179,88,28.993016759776538,26.436077108196365,22.0,23.261729367078942,35.65817286162113,-22.821694372288334,80.80772789184141
55-60,264,121,15.327651515151516,17.381104326812537,11.0,12.899128630705395,17.979899832447,-18.739312965401055,49.394615995704086
60-65,659,196,10.483687405159332,16.098735396520485,8.5,8.572945824757424,12.459530695323354,-21.069833972020817,42.03720878233948
65-75,2468,291,4.918253646677472,14.310538991083789,8.0,3.589002621272764,6.202277069898066,-23.130402775846754,32.966910069201695
>=75,7305,342,-3.728952772073922,16.327464915115062,9.0,-4.814979030739732,-2.68023883514069,-35.73078400569945,28.272878461551603
