threshold,interval_min,nadir_bin,n_cases_total,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high
55.0,5.0,<55 mmHg,2435,748,1407.0,704.5666666666666,702.4333333333333,0.50075811419095,0.48198931977951986,0.5191852958358151,0.49924188580904993,0.4808147041641848,0.51801068022048,0.3619995261786307,0.3400641244483615,0.3837573874100117,0.1746031746031746,0.15322111368164,0.1954163382771986,0.5400250691616353,0.5011077202413211,0.5817799045081313,0.9595259497563514,0.9114476999871598,1.0047807673092184,2.105281418050496,1.921084304488342,2.273797650646544,2.007206951475296,1.9000493282320738,2.1249374509705885
60.0,5.0,55-<60 mmHg,2435,804,1552.0,765.1333333333333,786.8666666666667,0.49299828178694155,0.4798671655873952,0.5056319487491258,0.5070017182130584,0.49436805125087413,0.5201328344126048,0.3553908934707904,0.34020144442931183,0.36994920570883394,0.1440721649484536,0.13001194908917102,0.1573058932809721,0.5700111546601268,0.5520725416108745,0.5879166553008217,0.7926940838198135,0.746817623062528,0.8405511901063482,1.6789884116058205,1.5971442155902391,1.7612529048420804,1.9476416601318578,1.853660909448652,2.0406829451932804
60.0,5.0,<55 mmHg,2435,1076,2353.0,1441.6999999999998,911.3,0.6127071823204419,0.5983351937594596,0.6269662511989872,0.387292817679558,0.3730337488010129,0.40166480624054035,0.4902535769939085,0.47298914794464864,0.5075670737023392,0.30862728431789205,0.28803521944396554,0.330267020782788,0.44405571809287553,0.41737496380606937,0.4710305280938036,1.142185537135943,1.0942135739219985,1.1922573849136693,2.9857421408368205,2.7635845876004894,3.240705965718669,1.8663768853128637,1.800322293475625,1.9411811133545993
65.0,5.0,55-<60 mmHg,2435,1260,2989.0,2091.9666666666667,897.0333333333333,0.6998884799821568,0.6878163753361006,0.7105033186669047,0.3001115200178432,0.2894966813330951,0.31218362466389926,0.5979368796699007,0.583721042436609,0.6105033918750105,0.417653618824579,0.40130015563101307,0.4336087550565127,0.3508694273026126,0.33875851203817453,0.36333644326334924,1.1864460343005254,1.1478562081298238,1.2253338768901472,3.3775660330258077,3.2335238303820457,3.5244465302501986,1.656601709183809,1.604087267861615,1.7148522278301102
65.0,5.0,60-<65 mmHg,2435,1318,3338.0,1890.8000000000002,1447.1999999999998,0.5664469742360696,0.5571265115354017,0.5762983996481257,0.43355302576393046,0.4237016003518744,0.4428734884645983,0.44235070900738965,0.4315174460170987,0.45401536316581287,0.20194727381665667,0.19097181122192308,0.21317088733438172,0.48139090318024713,0.46632472834101835,0.49641555448577573,0.7815563077357026,0.7481784394998039,0.8140301457057203,1.9980431563359424,1.9183268359876557,2.082514213693118,1.5698264109254165,1.510868001418893,1.6243936597024309
65.0,5.0,<55 mmHg,2435,1270,2860.0,2060.1,799.9,0.7203146853146852,0.7084917891974355,0.7312109561175533,0.27968531468531466,0.2687890438824469,0.29150821080256445,0.6247319347319348,0.6105881601543479,0.6384639409426461,0.47466200466200464,0.45538248270129994,0.4923032783432584,0.3292550154338478,0.30757132144835164,0.35076752060167304,1.2774137177806901,1.2322377858011024,1.318931686193891,4.474769293831475,4.157096648242987,4.834934972742921,1.6057095394506198,1.5536662025436259,1.6552736640394474
