threshold,tp,fn_false_reassurance,fp_overdisplay,tn,sensitivity,specificity,ppv,npv
55.0,138,652,992,57060,0.17468354430379746,0.9829118721146558,0.12212389380530973,0.988702522872193
60.0,502,1558,2876,53906,0.2436893203883495,0.949350146173083,0.14860864416814684,0.9719097071974614
65.0,1741,3468,5287,48346,0.33422921866001154,0.9014226315887607,0.2477233921457029,0.9330682827035164
