threshold,mechanism,n_cases,tp,fn_false_reassurance,fp_overdisplay,tn,actual_display_events,event_sensitivity,specificity,ppv,npv
55.0,actual_nibp_timing_plus_cuff,365,205,5966,3421,515259,13687,0.03321989953005996,0.9934044111976555,0.056536127964699395,0.9885538874766175
55.0,actual_timing_only,365,1298,4873,1788,516892,13687,0.2103386809269162,0.9965527878460708,0.4206092028515878,0.9906605464145736
55.0,fixed_5min_frequency_only,365,1865,4306,4866,513814,13687,0.30222006157835035,0.9906184930978638,0.27707621452978753,0.9916891839728248
60.0,actual_nibp_timing_plus_cuff,365,1197,13705,10275,499674,13687,0.08032478861897732,0.9798509262690975,0.10434100418410042,0.9733043229271162
60.0,actual_timing_only,365,3870,11032,3852,506097,13687,0.25969668500872367,0.9924463034538747,0.5011655011655012,0.9786668316802964
60.0,fixed_5min_frequency_only,365,6472,8430,9440,500509,13687,0.43430412025231513,0.9814883449129227,0.4067370537958773,0.9834361288877449
65.0,actual_nibp_timing_plus_cuff,365,4421,32685,19911,467834,13687,0.11914515172748343,0.959177439030641,0.1816948873910899,0.9346977837005188
65.0,actual_timing_only,365,10645,26461,7508,480237,13687,0.2868808278984531,0.9846067104737106,0.586404451054922,0.9477775716501743
65.0,fixed_5min_frequency_only,365,20585,16521,16541,471204,13687,0.5547620330943782,0.966086787153123,0.554463179442978,0.9661264031985237
