initial_display_policy,policy_description,threshold,interval_min,n_cases,n_clusters,bootstrap_cluster,bootstrap_reps,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,HDR,ODR,NetBias,hidden_auc_display_unavailable_total,hidden_auc_display_valid_total,true_auc_display_valid_total,HDR_display_valid,ODR_display_valid,HDR_unavailable_component,HDR_valid_mismatch_component,normotensive_display_discordance_min,hypotensive_display_discordance_min,reference_hypotension_with_display_unavailable_min,normotensive_display_min_per_anesthesia_hour,normotensive_display_discordance_min_per_anesthesia_hour,hypotensive_display_discordance_min_per_anesthesia_hour,reference_hypotension_with_display_unavailable_min_per_anesthesia_hour,display_unavailable_fraction,episode_sensitivity,HDR_ci_low,HDR_ci_high,ODR_ci_low,ODR_ci_high,NetBias_ci_low,NetBias_ci_high,HDR_display_valid_ci_low,HDR_display_valid_ci_high,ODR_display_valid_ci_low,ODR_display_valid_ci_high,HDR_unavailable_component_ci_low,HDR_unavailable_component_ci_high,HDR_valid_mismatch_component_ci_low,HDR_valid_mismatch_component_ci_high,normotensive_display_discordance_ci_low,normotensive_display_discordance_ci_high,hypotensive_display_discordance_ci_low,hypotensive_display_discordance_ci_high,reference_hypotension_with_display_unavailable_ci_low,reference_hypotension_with_display_unavailable_ci_high,excluded_reference_time_min_total,excluded_reference_time_fraction
unavailable_before_first_scheduled_sample,Primary convention: no displayed value before the first scheduled sample; concurrent reference deficit is counted as hidden.,65.0,5.0,2435,2380,subjectid,1000,262221.8333333333,255815.09166666667,156657.8111111111,150251.06944444444,0.5974247419434733,0.5729922163020157,-0.02443252564145753,37947.330555555556,118710.48055555555,224274.50277777776,0.529308856268783,0.6699427156609087,0.14471461080556688,0.45271013113790637,16337.566666666666,17769.62777777778,1701.5388888888888,1.6919342974668123,1.6919342974668123,1.840239939267243,0.17621302261973015,0.011500936016123713,,0.581867624544135,0.6122406941698799,0.5580414311205506,0.5870330839049442,-0.02697779970201543,-0.02202809364724751,0.5133175611348383,0.5443445913806056,0.6490566324236553,0.691685150540695,0.1363716420124867,0.15387286713354417,0.44029067460793536,0.46431991241791465,1.625830407087415,1.7577428133740383,1.7737575921523594,1.9070318233834,0.16893426149113128,0.18406180599488126,0.0,0.0
baseline_initialized_at_first_reference,"Sensitivity: initialize the display with the first finite reference value, then follow the same phase-specific schedule.",65.0,5.0,2435,2380,subjectid,1000,262221.8333333333,398504.7888888889,124266.70833333331,260549.66388888887,0.47389916679961175,0.9936230731698119,0.5197239063702002,1248.675,123018.03333333333,260973.15833333333,0.47138193873641987,0.9983772490353068,0.004761903248585326,0.4691372635510265,16500.088888888888,20752.005555555555,55.90555555555555,1.7087652569045682,1.7087652569045682,2.1490978832424825,0.0057896337192226135,0.00036612829428559883,,0.46113355778848414,0.48543517427965666,0.9560813986814024,1.034602178338118,0.4885662913312142,0.5542129622889902,0.4584975788596573,0.48298120282615004,0.9604673334518387,1.0397006727183862,0.004450659553322998,0.005095850321001964,0.45632144883050085,0.4806887867328027,1.6429674824261165,1.7740930561351822,2.0812264214059883,2.2122305898123065,0.00549906103888941,0.006118715497805202,0.0,0.0
exclude_before_first_display,Sensitivity: exclude reference time points before the first finite displayed value from both numerator and denominator.,65.0,5.0,2435,2380,subjectid,1000,224274.50277777776,255815.09166666667,118710.48055555555,150251.06944444444,0.529308856268783,0.6699427156609087,0.14063385939212564,0.0,118710.48055555555,224274.50277777776,0.529308856268783,0.6699427156609087,0.0,0.529308856268783,16337.566666666666,17769.62777777778,0.0,1.6919342974668123,1.6919342974668123,1.840239939267243,0.0,0.0,,0.5133175611348383,0.5443445913806056,0.6490566324236553,0.691685150540695,0.13117061177605283,0.15139555854141684,0.5133175611348383,0.5443445913806056,0.6490566324236553,0.691685150540695,0.0,0.0,0.5133175611348383,0.5443445913806056,1.625830407087415,1.7577428133740383,1.7737575921523594,1.9070318233834,0.0,0.0,6120.688888888888,0.010564408260751954
