threshold,interval_min,duration_bin,n_cases_total,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high
55.0,5.0,1-<3 min,2435,677,1113.0,452.9,660.1,0.40691823899371066,0.39492420690000124,0.41975415576959263,0.5930817610062893,0.5802458442304074,0.6050757930999987,0.25849056603773585,0.2446422238830029,0.27455675445057,0.057172806229410005,0.04925006135793208,0.06533907783030857,0.7064217983732892,0.6791864076175416,0.7306562716819468,0.5567822182969014,0.523715228295258,0.589882001576171,1.160950418291995,1.128255558904033,1.1920464099109411,2.1905865901229116,2.076524783228522,2.316615646242767
55.0,5.0,3-<5 min,2435,145,185.0,142.66666666666666,42.33333333333333,0.7711711711711711,0.7530766245287203,0.7880186195994214,0.2288288288288288,0.21198138040057865,0.24692337547127963,0.6239639639639639,0.6022550843253969,0.6447371780431028,0.4500900900900901,0.42392380952380954,0.47905695540713755,0.5118063667812258,0.48227918441801715,0.5387434554336834,1.4729361370716512,1.3847382109419917,1.5488123348537197,2.2401479750778814,2.1535673695990196,2.3284681809740215,1.970171339563863,1.7632384955576912,2.196624072715131
55.0,5.0,>=5 min,2435,80,109.0,109.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9743119266055046,0.9647970669488038,0.9828818768727026,0.9061162079510703,0.8835046817364987,0.9279808087027915,0.21745262145262145,0.18483182474520807,0.25314622166294626,1.9609582059123343,1.8398249421296295,2.089952539335399,5.85249745158002,5.24360107606733,6.4709901764147695,1.293730886850153,1.1005487263806244,1.4875338468720822
60.0,5.0,1-<3 min,2435,1188,2775.0,1226.1999999999998,1548.8000000000002,0.44187387387387383,0.4334413090977475,0.45067084035697824,0.5581261261261262,0.5493291596430218,0.5665586909022526,0.3001921921921922,0.2898752943655184,0.31045237895017425,0.08006006006006006,0.07347457665345283,0.08699194841124537,0.6762483323943168,0.6580410342144873,0.6916932906572976,0.5281492959277986,0.5073363778442687,0.5481969376211886,1.2500045307091467,1.228150934916762,1.2708245639558169,1.9934168796099965,1.9077013754827359,2.07530264618405
60.0,5.0,3-<5 min,2435,476,690.0,540.6333333333334,149.36666666666667,0.7835265700483093,0.7745210661584221,0.7923531200801487,0.21647342995169083,0.20764687991985117,0.22547893384157788,0.6430917874396135,0.6320059457277695,0.6535589197427605,0.4763768115942029,0.4620870927318296,0.4893644772154672,0.4915685584281822,0.47682717735979635,0.5081497636073063,1.441231477485254,1.3926702827476876,1.4885483201700251,2.355293174671681,2.3066540098260018,2.401453997772166,1.980465297901638,1.8987423930181826,2.0724858130807178
60.0,5.0,>=5 min,2435,284,440.0,440.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.973560606060606,0.9688940599310527,0.9781262179844098,0.9066666666666666,0.8947857663347097,0.9184462007297971,0.1934331245134584,0.17592691218038928,0.21125218532174825,1.8782070707070706,1.8118246235670912,1.9446498759507442,6.32520202020202,5.887527012587159,6.821095475862521,1.5134722222222223,1.4105252857657908,1.6248195365482014
65.0,5.0,1-<3 min,2435,1664,5438.0,2672.5666666666666,2765.4333333333334,0.4914613215643006,0.4850759383768852,0.4983359426430444,0.5085386784356994,0.5016640573569556,0.5149240616231149,0.361303175186956,0.35328960038298124,0.3698744004341882,0.10849577050386171,0.10230448347586953,0.11447909589509042,0.6306859928838735,0.6174378193271409,0.6429184950044061,0.46467814959402326,0.4496665942149109,0.4801146510783318,1.3382869567748024,1.321154022399167,1.3545710120713612,1.675842199134415,1.6238945298100924,1.729131336532399
65.0,5.0,3-<5 min,2435,1034,1931.0,1552.3,378.7,0.8038839979285344,0.7983020847472966,0.8086815447531447,0.19611600207146557,0.19131845524685537,0.20169791525270353,0.6766442257897463,0.6691172962027346,0.6831531814615924,0.5248748489556361,0.5154953990597615,0.5340940499742943,0.45303824595101044,0.44286090277755435,0.4637278501994325,1.3239243559735734,1.289261626305807,1.3598903736675796,2.5090689800797383,2.476773663698176,2.5413359230460437,1.6502716399321435,1.592402841469707,1.7125945484468017
65.0,5.0,>=5 min,2435,902,1818.0,1818.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9786395306197286,0.9766737386920327,0.9807642372554642,0.9221488815548221,0.9166747346164639,0.9274620887912647,0.16998520450648258,0.15939064873043343,0.18090141445423566,1.8120798190930205,1.7769089092620656,1.848849668643412,6.925543943283217,6.611034615936229,7.259833488545811,1.4858024691358025,1.4353249553688858,1.539260367611714
