method,paired_events,case_clusters,mean_difference,between_case_variance,within_case_variance,loa_low,loa_high,mean_ci_low,mean_ci_high,loa_low_ci_low,loa_low_ci_high,loa_high_ci_low,loa_high_ci_high,role
event_pooled_descriptive,58842,1908,-0.25302080146833894,,297.2313293545749,-34.044201231405005,33.53815962846833,,,,,,,descriptive only; ignores within-case dependence
random_intercept_variance_components_mom,58842,1908,0.5933964289050395,82.87263840794944,214.41940216847226,-33.20123484705922,34.388027704869295,0.08366808272586282,1.1425759546049916,-34.043758768404274,-32.380761314778916,33.39933630555739,35.41669515678501,primary repeated-measures agreement summary with case-cluster bootstrap
random_intercept_reml_statsmodels_check,58842,1908,0.6619390695174546,120.16496721729085,214.96312588787873,-35.21880900619606,36.542687145230964,,,,,,,statsmodels 0.14.6 REML validation; converged=True
equal_case_weighted_mean_sensitivity,58842,1908,0.9133782090148025,158.2897502874726,,,,0.35206564454871325,1.4983386549746387,,,,,sensitivity analysis giving each case equal weight
one_random_event_per_case_sensitivity,1908,1908,0.9076979821802936,,,-36.83560787982665,38.65100384418723,0.2946770178197065,1.5328321540880503,-38.28305444762506,-35.42353318368239,37.048734684247734,40.26368916646567,sensitivity analysis with one randomly selected paired event per case
