threshold,interval_min,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,HDR,ODR,NetBias,normotensive_display_discordance_min,hypotensive_display_discordance_min,normotensive_display_min_per_anesthesia_hour,normotensive_display_discordance_min_per_anesthesia_hour,hypotensive_display_discordance_min_per_anesthesia_hour,episode_sensitivity,HDR_ci_low,HDR_ci_high,ODR_ci_low,ODR_ci_high,NetBias_ci_low,NetBias_ci_high,normotensive_display_discordance_ci_low,normotensive_display_discordance_ci_high,hypotensive_display_discordance_ci_low,hypotensive_display_discordance_ci_high
55.0,1.0,2435,65826.83333333333,96812.97222222222,32430.347222222223,63416.48611111111,0.49266151172731826,0.9633835155032185,0.47072200377590023,2346.8055555555557,3607.916666666667,0.2430374663462797,0.2430374663462797,0.37363935984359997,1.0,0.4717328764207174,0.5127545564803715,0.8973227112655725,1.0347456636267154,0.41089943021673503,0.5391912939229483,0.23248924170317786,0.2546533197950972,0.3547333482710335,0.3935081426691566
55.0,2.5,2435,65826.83333333333,80502.12777777779,44952.83888888889,59628.13333333333,0.6828953576007083,0.9058332341674241,0.22293787656671588,3522.8555555555554,4152.9,0.36483034842801637,0.36483034842801637,0.43007836401279204,0.7519071310116087,0.6585083870467846,0.7051092363208078,0.8557046919985564,0.9575491131987697,0.1811877828900632,0.26878447943265765,0.34801138563901735,0.3826807005407608,0.4082316233869766,0.4539969615312687
55.0,3.0,2435,65826.83333333333,78075.02777777778,47019.31018518518,59267.50462962962,0.7142878945291082,0.9003547888975817,0.18606689436847343,3745.157407407407,4279.935185185184,0.38785214446487215,0.38785214446487215,0.44323425137259037,0.683605780620706,0.6904980046308838,0.7377268194962168,0.8575055876617775,0.9487591977458257,0.15298519233868713,0.2259705567920069,0.3679525660891163,0.4065139458783463,0.41977653097430634,0.46639895888978616
55.0,5.0,2435,65826.83333333333,72720.70555555556,52196.225000000006,59090.09722222222,0.792932340155104,0.8976597267409525,0.10472738658584843,4317.299999999999,4641.022222222222,0.4471037879439493,0.4471037879439493,0.48062877619984734,0.50075811419095,0.7678969476865211,0.8131092099300875,0.866061457004974,0.9290255110049973,0.08362087770093819,0.1290770698609831,0.425077819520495,0.47141362851520957,0.45671864168028165,0.5077117819732558
55.0,10.0,2435,65826.83333333333,67954.27222222224,57233.96111111111,59361.399999999994,0.8694624701341821,0.9017811885224111,0.03231871838822901,4929.063888888889,5051.9222222222215,0.5104586514117518,0.5104586514117518,0.5231819799304588,0.3127339493011135,0.8505865663839545,0.8888676313044542,0.8804717052352067,0.9240963822931784,0.022263270758310676,0.04376312034981014,0.480172461091755,0.5435523736240753,0.49182790010628713,0.5567858971326715
60.0,1.0,2435,120110.5,157942.80555555556,49180.19444444444,87012.5,0.409457911210464,0.7244370808547129,0.31497916964424894,4186.0,5656.972222222221,0.43350623221304335,0.43350623221304335,0.5858415465335408,1.0,0.39439234252987393,0.42495908559230094,0.6780221914674431,0.7770242984919229,0.27466916415091663,0.36250962329525344,0.4166449815145935,0.45083625524522586,0.5611520198537764,0.613907541538878
60.0,2.5,2435,120110.5,138310.1611111111,71530.43333333332,89730.09444444443,0.5955385526938387,0.7470628666473326,0.15152431395349375,6857.477777777778,7636.055555555555,0.7101670697393975,0.7101670697393975,0.7907973418199632,0.79651728553137,0.5753943054789009,0.6139958250003461,0.7126524489078522,0.7871958845975532,0.12556557598536963,0.18511137135221456,0.6786603995292879,0.7404872884608311,0.7563754715677153,0.8260370841640599
60.0,3.0,2435,120110.5,135376.98148148146,75612.58796296296,90879.06944444444,0.6295252118920741,0.7566288496379954,0.12710363774592126,7430.231481481481,8098.055555555555,0.7694820004796407,0.7694820004796407,0.8386425112615365,0.7367335325081804,0.6097428292016002,0.6474385189908423,0.7249372352160931,0.7936379621853881,0.10460745681375654,0.15610730939786785,0.737683531505999,0.8016945290193982,0.8036698809538433,0.8748844670912249
60.0,5.0,2435,120110.5,128910.90555555557,86197.83055555556,94998.2361111111,0.7176544145229231,0.7909236587235179,0.07326924420059477,8999.422222222223,9438.027777777777,0.9319889201265862,0.9319889201265862,0.9774113381429734,0.5651301749893298,0.6973222987106832,0.7350912826614593,0.7650999103051749,0.8187326657944972,0.058507805923999054,0.09196908319985664,0.8870189602332647,0.969857768298544,0.9332539836471175,1.0200067079803832
60.0,10.0,2435,120110.5,123097.71388888889,97292.96805555554,100280.18194444443,0.8100288322466024,0.8348993796915709,0.02487054744496849,10812.819444444443,11037.316666666666,1.1197861005640333,1.1197861005640333,1.143035251292139,0.37370465215535636,0.7919755019561424,0.8275103927819595,0.8151766585279492,0.8534059065532255,0.017807044553910474,0.03333739870203648,1.0682415866005637,1.1740648733531003,1.090460357375535,1.1983040209006404
