analysis,analysis_role,outcome_definition,baseline_definition,map_threshold_mm_hg,display_interval_min,exposure,exposure_scale,population,adjustment_sequence,n_cases,n_subjects,events,n_parameters,relative_risk,ci_low,ci_high,p_value,positive_adverse_association_supported,reference_burden_adjustment,covariate_adjustment,variance_estimator,causal_boundary,aic,log_likelihood,formula,term,coefficient,standard_error
"Absolute hidden burden, unadjusted","total association, unadjusted",creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr clinical-information field,65.0,5.0,hidden AUC per anaesthesia-hour at MAP <65 mm Hg,per 10 mm Hg*min per anaesthesia-hour,"all AKI-evaluable complete cases, including zero reference AUC",none,2246,2198,106,2,1.1395383235461962,1.0308051575051227,1.2597410687907062,0.01068169993458748,True,none,none,subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,857.6413109411972,-426.8206554705986,aki ~ hidden_twa10,hidden_twa10,0.1306232010346804,0.05116573500419049
"Absolute hidden burden, clinical adjusted",primary exploratory AKI association model,creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr clinical-information field,65.0,5.0,hidden AUC per anaesthesia-hour at MAP <65 mm Hg,per 10 mm Hg*min per anaesthesia-hour,"all AKI-evaluable complete cases, including zero reference AUC",clinical,2242,2197,104,14,1.0928886315013266,0.9922820156812905,1.2036956651328363,0.07143259894644313,False,none,"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,774.3975211973828,-373.1987605986914,aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + hidden_twa10,hidden_twa10,0.08882431150650942,0.04927245315065353
"Absolute hidden burden, clinical plus reference burden",incremental association beyond total reference burden,creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr clinical-information field,65.0,5.0,hidden AUC per anaesthesia-hour at MAP <65 mm Hg,per 10 mm Hg*min per anaesthesia-hour,"all AKI-evaluable complete cases, including zero reference AUC",clinical_plus_reference,2242,2197,104,17,1.0447074021975933,0.8149135530943874,1.339299796968809,0.7300303132514938,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,780.2711511433033,-373.13557557165166,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hidden_twa10",hidden_twa10,0.04373684831300445,0.12674217050024641
