analysis,analysis_role,outcome_definition,baseline_definition,map_threshold_mm_hg,display_interval_min,exposure,exposure_scale,population,adjustment_sequence,n_cases,n_subjects,events,n_parameters,relative_risk,ci_low,ci_high,p_value,positive_adverse_association_supported,reference_burden_adjustment,covariate_adjustment,variance_estimator,causal_boundary,aic,log_likelihood,formula,term,coefficient,standard_error
HDR65 incremental model,secondary compositional incremental model,creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr clinical-information field,65.0,5.0,hidden-deficit ratio at MAP <65 mm Hg,per 10-percentage-point increase,cases with reference AUC >0,clinical_plus_reference,2209,2162,106,17,0.8682091693328456,0.7450238483910769,1.0117624601433601,0.07026793376829216,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,781.5851318706328,-373.7925659353164,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hdr10",hdr10,-0.14132261485837866,0.07807104426424773
MAP <60 mm Hg threshold,threshold sensitivity,creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr clinical-information field,60.0,5.0,hidden-deficit ratio at MAP <60 mm Hg,per 10-percentage-point increase,cases with reference AUC >0,clinical_plus_reference,2166,2121,101,17,0.8278606874597559,0.6813817588547673,1.0058286840452664,0.05724099685130248,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,756.0999545280124,-361.0499772640062,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hdr10",hdr10,-0.18891039061300766,0.09934986312769045
MAP <55 mm Hg threshold,threshold sensitivity,creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr clinical-information field,55.0,5.0,hidden-deficit ratio at MAP <55 mm Hg,per 10-percentage-point increase,cases with reference AUC >0,clinical_plus_reference,2085,2044,94,17,0.8182400349279998,0.6223922303262109,1.0757151553901376,0.15069111216723616,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,722.4589782873859,-344.22948914369294,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hdr10",hdr10,-0.20059954419257414,0.13958687382541163
Pre-display AUC fraction,actionability metric sensitivity,creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr clinical-information field,65.0,5.0,reference episode AUC accrued before first low display,per 10-percentage-point increase,cases with reference AUC >0,clinical_plus_reference,1769,1729,90,17,0.8596870803115847,0.7553765198349024,0.9784019712661826,0.02197460756804586,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,656.6036598569817,-311.30182992849086,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + predisplay10",predisplay10,-0.15118681605054132,0.06599720058388865
AKI within 48 h,outcome-window sensitivity,creatinine-defined AKI within 48 h,VitalDB preop_cr clinical-information field,65.0,5.0,hidden-deficit ratio at MAP <65 mm Hg,per 10-percentage-point increase,cases with reference AUC >0,clinical_plus_reference,2189,2142,95,17,0.847835578833299,0.7195859843214286,0.9989427037179568,0.048540515394159156,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,707.8781590236079,-336.9390795118039,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hdr10",hdr10,-0.1650685548751502,0.08368046584263822
Latest laboratory baseline within 90 d,baseline-definition sensitivity,creatinine-defined KDIGO AKI through postoperative day 7,latest measured creatinine within 90 d before anaesthesia start,65.0,5.0,hidden-deficit ratio at MAP <65 mm Hg,per 10-percentage-point increase,cases with reference AUC >0,clinical_plus_reference,1813,1764,88,17,0.9389432430023471,0.7870312945229414,1.1201770751875308,0.48414920742445966,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,635.9068526971516,-300.9534263485758,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hdr10",hdr10,-0.06300024568764885,0.09004605326211661
At least two postoperative creatinine values,outcome-ascertainment sensitivity,creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr clinical-information field,65.0,5.0,hidden-deficit ratio at MAP <65 mm Hg,per 10-percentage-point increase,cases with reference AUC >0,clinical_plus_reference,1974,1930,103,17,0.8514183645953669,0.7335145269530144,0.988273858162708,0.03442448944463621,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,748.9116076727728,-357.4558038363864,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hdr10",hdr10,-0.1608516559412578,0.07605048962605634
Exclude baseline creatinine >=4 mg/dL,advanced-kidney-dysfunction sensitivity,creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr; baseline creatinine <4 mg/dL,65.0,5.0,hidden-deficit ratio at MAP <65 mm Hg,per 10-percentage-point increase,cases with reference AUC >0,clinical_plus_reference,2192,2145,99,17,0.8638654710954206,0.7294959877234731,1.022985135915231,0.08978903327348871,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,751.9006104933858,-358.9503052466929,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hdr10",hdr10,-0.14633822705199526,0.08625831155691568
One case per subject,independence sensitivity,creatinine-defined KDIGO AKI through postoperative day 7,VitalDB preop_cr clinical-information field,65.0,5.0,hidden-deficit ratio at MAP <65 mm Hg,per 10-percentage-point increase,cases with reference AUC >0,clinical_plus_reference,2160,2160,99,17,0.857534636872902,0.7303114254245895,1.0069206475979915,0.06068408329529762,False,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency,744.3432085893785,-355.17160429468925,"aki ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hdr10",hdr10,-0.15369370790311526,0.0819354432045071
