hdr_quartile,n_cases,aki_events,aki_risk,hdr_median,hdr_min,hdr_max,reference_twa_median
Q1 (lowest),553,43,0.07775768535262206,0.5183817062445031,0.13373425545421136,0.6193798449612403,47.88910505836576
Q2,552,25,0.04528985507246377,0.6980366145358086,0.61957928802589,0.7732542819499342,25.38543912106251
Q3,552,15,0.02717391304347826,0.8377206841909024,0.7736200716845877,0.8981981981981982,13.50236972735663
Q4 (highest),552,23,0.041666666666666664,0.943051866162226,0.8982608695652174,0.9666666666666667,5.676060103577136
