threshold,mechanism,n_cases_episode,reference_episodes,detected_episodes,missed_episodes,median_delay_min,episode_sensitivity,n_cases_event,tp,fn_false_reassurance,fp_overdisplay,tn,fn_display_valid,reference_low_display_unavailable,reference_not_low_display_unavailable,display_valid_timepoints,display_unavailable_timepoints,actual_display_events,event_sensitivity,specificity,sensitivity_display_valid,display_unavailable_fraction,ppv,npv
55.0,actual_nibp_timing_plus_cuff,365,1733,42,1691,0.0,0.024235429890363532,365,205,5966,3061,183876,3013,2953,288032,190155,290985,13687,0.03321989953005996,0.9836254994998315,0.0637041640770665,0.6047823918194288,0.06276791181873852,0.9685738666891415
55.0,actual_timing_only,365,1733,230,1503,0.16666666666666666,0.13271783035199078,365,1298,4873,1548,185389,1920,2953,288032,190155,290985,13687,0.2103386809269162,0.9917191353236652,0.4033561218147918,0.6047823918194288,0.4560787069571328,0.9743879492489305
55.0,fixed_5min_frequency_only,365,1733,324,1409,0.08333333333333333,0.1869590305828044,365,1865,4306,4570,465904,3367,939,4495,475706,5434,13687,0.30222006157835035,0.9902863920216632,0.35646024464831805,0.011294010059442158,0.2898212898212898,0.9908423895706174
60.0,actual_nibp_timing_plus_cuff,365,2905,167,2738,0.0,0.05748709122203098,365,1197,13705,9355,173414,6189,7516,283469,190155,290985,13687,0.08032478861897732,0.9488151710629265,0.1620633631194151,0.6047823918194288,0.11343821076573161,0.9267578385946911
60.0,actual_timing_only,365,2905,468,2437,0.16666666666666666,0.16110154905335627,365,3870,11032,3559,179210,3516,7516,283469,190155,290985,13687,0.25969668500872367,0.9805273323156553,0.5239642567018684,0.6047823918194288,0.5209314847220353,0.9420107021583036
60.0,fixed_5min_frequency_only,365,2905,784,2121,0.08333333333333333,0.26987951807228916,365,6472,8430,9077,452886,7271,1159,4275,475706,5434,13687,0.43430412025231513,0.9803512402508426,0.47093065560649056,0.011294010059442158,0.41623255514824103,0.9817261920245558
65.0,actual_nibp_timing_plus_cuff,365,5034,516,4518,0.0,0.10250297973778308,365,4421,32685,18306,154775,12653,20032,270953,190155,290985,13687,0.11914515172748343,0.8942344913653145,0.2589317090312756,0.6047823918194288,0.1945263343160118,0.8256428037981436
65.0,actual_timing_only,365,5034,1003,4031,0.08333333333333333,0.1992451330949543,365,10645,26461,6992,166089,6429,20032,270953,190155,290985,13687,0.2868808278984531,0.9596027293579307,0.6234625746749444,0.6047823918194288,0.6035606962635369,0.862575954297585
65.0,fixed_5min_frequency_only,365,5034,1762,3272,0.0,0.35001986491855386,365,20585,16521,15916,424154,15051,1470,3964,475706,5434,13687,0.5547620330943782,0.9638330265639558,0.5776462004714333,0.011294010059442158,0.5639571518588532,0.9625097861235604
