rank_cutoff,selected_n,monitoring_burden_case_fraction,high_hidden_events_total,high_hidden_events_captured,capture_rate,nnt_monitor
0.05,122,0.05010266940451746,487,71,0.1457905544147844,1.7183098591549295
0.1,244,0.10020533880903491,487,119,0.24435318275154005,2.0504201680672267
0.2,487,0.2,487,199,0.4086242299794661,2.4472361809045227
0.3,731,0.3002053388090349,487,278,0.5708418891170431,2.629496402877698
0.5,1218,0.500205338809035,487,373,0.7659137577002053,3.265415549597855
