formula,term,n_cases,n_subjects,events,n_parameters,converged,coefficient,standard_error,relative_risk,ci_low,ci_high,p_value,aic,log_likelihood,events_per_parameter,ci_width_ratio,model_stability_status,model_stability_reason,stability_min_events_per_parameter,stability_max_ci_width_ratio,analysis,analysis_role,outcome_definition,endpoint_role,endpoint_limitation,exposure,exposure_scale,population,adjustment_sequence,reference_burden_adjustment,covariate_adjustment,variance_estimator,causal_boundary
icu_ge2d ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + hidden_twa10,hidden_twa10,2252,2204,153,14,True,0.1345801981331477,0.03619022760456375,1.1440564065113745,1.0657178987854852,1.2281534004180001,0.00020025949622314718,940.7401312718238,-456.3700656359119,10.928571428571429,1.1524188547622498,PASS,all analysis-plan-defined numerical stability criteria passed,5.0,10.0,"Absolute hidden burden, clinical adjusted (recorded ASA sensitivity)",ASA coding sensitivity; exploratory resource-use association,postoperative ICU length of stay >=2 days,exploratory postoperative resource-use outcome,VitalDB does not distinguish planned from unplanned ICU admission,hidden AUC per anaesthesia-hour at MAP <65 mm Hg,per 10 mm Hg*min per anaesthesia-hour,"all endpoint-evaluable complete cases, including zero reference AUC",clinical,none,"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency
"icu_ge2d ~ age10 + male + bmi5 + asa_high + emop + preop_htn + preop_dm + baseline_cr05 + duration_hr + C(department) + bs(log_true_twa, df=3, degree=2, include_intercept=False) + hidden_twa10",hidden_twa10,2252,2204,153,17,True,0.16318513843815904,0.07373474945421954,1.1772546245962936,1.0188430156380561,1.360296365446854,0.026888168025367663,938.8504557490874,-452.4252278745437,9.0,1.335138332959922,PASS,all analysis-plan-defined numerical stability criteria passed,5.0,10.0,"Absolute hidden burden, clinical plus reference burden (recorded ASA sensitivity)",ASA coding sensitivity; incremental association beyond total reference burden,postoperative ICU length of stay >=2 days,exploratory postoperative resource-use outcome,VitalDB does not distinguish planned from unplanned ICU admission,hidden AUC per anaesthesia-hour at MAP <65 mm Hg,per 10 mm Hg*min per anaesthesia-hour,"all endpoint-evaluable complete cases, including zero reference AUC",clinical_plus_reference,quadratic B-spline (3 df) of log(1 + reference AUC per anaesthesia-hour),"age, sex, body mass index, ASA Physical Status >=3, emergency surgery, hypertension, diabetes, baseline creatinine, anaesthesia duration, and surgical department",subject-cluster robust sandwich,Exploratory association under counterfactual display emulation; not a causal effect of monitoring frequency
