strategy,HDR65_from_fixed_5min,HDR65_to_strategy,absolute_HDR65_difference,relative_HDR65_reduction,relative_HDR65_reduction_percent,extra_cuff_inflations_per_hour,cost_domain
fixed_2_5min,0.5948808610521245,0.4667676413926885,0.12811321965943595,0.2153594577456249,21.53594577456249,12.0,cuff_cadence
fixed_3min,0.5948808610521245,0.5010598532667315,0.09382100778539293,0.1577139456452813,15.77139456452813,8.0,cuff_cadence
fixed_5min_reference,0.5948808610521245,0.5948808610521245,0.0,0.0,0.0,0.0,cuff_cadence
induction_intensified_first20min,0.5948808610521245,0.5106029818264561,0.08427787922566832,0.1416718619533529,14.16718619533529,4.951114776054361,cuff_cadence
selective_continuous_top20_oof,0.5948808610521245,0.3937337407068188,0.20114712034530563,0.3381300921155047,33.81300921155047,,modality_change
threshold_triggered_adaptive,0.5948808610521245,0.4481968511393979,0.14668400991272657,0.2465771207587629,24.65771207587629,8.81970167278465,cuff_cadence
trend_triggered_adaptive,0.5948808610521245,0.4058567459739877,0.18902411507813677,0.3177512128122982,31.77512128122982,15.88529822636406,cuff_cadence
universal_1min_proxy,0.5948808610521245,0.3021554269254213,0.29272543412670315,0.4920740492625364,49.20740492625364,48.0,cuff_cadence
universal_continuous_reference,0.5948808610521245,0.0,0.5948808610521245,1.0,100.0,,modality_change
