threshold,interval_min,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,HDR,ODR,NetBias,normotensive_display_discordance_min,hypotensive_display_discordance_min,normotensive_display_min_per_anesthesia_hour,normotensive_display_discordance_min_per_anesthesia_hour,hypotensive_display_discordance_min_per_anesthesia_hour,episode_sensitivity,HDR_ci_low,HDR_ci_high,ODR_ci_low,ODR_ci_high,NetBias_ci_low,NetBias_ci_high,normotensive_display_discordance_ci_low,normotensive_display_discordance_ci_high,hypotensive_display_discordance_ci_low,hypotensive_display_discordance_ci_high
55.0,1.0,2435,65826.83333333333,96812.97222222222,32430.347222222223,63416.48611111111,0.4926615117273182,0.9633835155032184,0.4707220037759002,2346.8055555555557,3607.916666666667,0.2430374663462797,0.2430374663462797,0.3736393598435999,1.0,0.4717328764207174,0.5127545564803715,0.8973227112655725,1.0347456636267154,0.410899430216735,0.5391912939229483,0.2324892417031778,0.2546533197950972,0.3547333482710335,0.3935081426691566
55.0,2.5,2435,65826.83333333333,80502.12777777779,44952.83888888889,59628.13333333333,0.6828953576007083,0.905833234167424,0.2229378765667158,3522.8555555555554,4152.9,0.3648303484280163,0.3648303484280163,0.430078364012792,0.7519071310116087,0.6585083870467846,0.7051092363208078,0.8557046919985564,0.9575491131987696,0.1811877828900632,0.2687844794326576,0.3480113856390173,0.3826807005407608,0.4082316233869766,0.4539969615312687
55.0,3.0,2435,65826.83333333333,78075.02777777778,47019.31018518518,59267.50462962962,0.7142878945291082,0.9003547888975817,0.1860668943684734,3745.157407407407,4279.935185185184,0.3878521444648721,0.3878521444648721,0.4432342513725903,0.683605780620706,0.6904980046308838,0.7377268194962168,0.8575055876617775,0.9487591977458256,0.1529851923386871,0.2259705567920069,0.3679525660891163,0.4065139458783463,0.4197765309743063,0.4663989588897861
55.0,5.0,2435,65826.83333333333,72720.70555555556,52196.225000000006,59090.09722222222,0.792932340155104,0.8976597267409525,0.1047273865858484,4317.299999999999,4641.022222222222,0.4471037879439493,0.4471037879439493,0.4806287761998473,0.50075811419095,0.7678969476865211,0.8131092099300875,0.866061457004974,0.9290255110049972,0.0836208777009381,0.1290770698609831,0.425077819520495,0.4714136285152095,0.4567186416802816,0.5077117819732558
55.0,10.0,2435,65826.83333333333,67954.27222222224,57233.96111111111,59361.399999999994,0.8694624701341821,0.9017811885224112,0.032318718388229,4929.063888888889,5051.9222222222215,0.5104586514117518,0.5104586514117518,0.5231819799304588,0.3127339493011135,0.8505865663839545,0.8888676313044542,0.8804717052352067,0.9240963822931784,0.0222632707583106,0.0437631203498101,0.480172461091755,0.5435523736240753,0.4918279001062871,0.5567858971326715
60.0,1.0,2435,120110.5,157942.80555555556,49180.19444444444,87012.5,0.409457911210464,0.7244370808547129,0.3149791696442489,4186.0,5656.972222222221,0.4335062322130433,0.4335062322130433,0.5858415465335408,1.0,0.3943923425298739,0.4249590855923009,0.6780221914674431,0.7770242984919229,0.2746691641509166,0.3625096232952534,0.4166449815145935,0.4508362552452258,0.5611520198537764,0.613907541538878
60.0,2.5,2435,120110.5,138310.1611111111,71530.43333333332,89730.09444444443,0.5955385526938387,0.7470628666473326,0.1515243139534937,6857.477777777778,7636.055555555555,0.7101670697393975,0.7101670697393975,0.7907973418199632,0.79651728553137,0.5753943054789009,0.6139958250003461,0.7126524489078522,0.7871958845975532,0.1255655759853696,0.1851113713522145,0.6786603995292879,0.7404872884608311,0.7563754715677153,0.8260370841640599
60.0,3.0,2435,120110.5,135376.98148148146,75612.58796296296,90879.06944444444,0.6295252118920741,0.7566288496379954,0.1271036377459212,7430.231481481481,8098.055555555555,0.7694820004796407,0.7694820004796407,0.8386425112615365,0.7367335325081804,0.6097428292016002,0.6474385189908423,0.7249372352160931,0.7936379621853881,0.1046074568137565,0.1561073093978678,0.737683531505999,0.8016945290193982,0.8036698809538433,0.8748844670912249
60.0,5.0,2435,120110.5,128910.90555555555,86197.83055555556,94998.2361111111,0.7176544145229231,0.7909236587235179,0.0732692442005947,8999.422222222223,9438.027777777776,0.9319889201265862,0.9319889201265862,0.9774113381429734,0.5651301749893298,0.6973222987106832,0.7350912826614593,0.7650999103051749,0.8187326657944972,0.058507805923999,0.0919690831998566,0.8870189602332647,0.969857768298544,0.9332539836471176,1.0200067079803832
60.0,10.0,2435,120110.5,123097.71388888887,97292.96805555554,100280.18194444444,0.8100288322466024,0.8348993796915709,0.0248705474449684,10812.819444444443,11037.316666666666,1.1197861005640333,1.1197861005640333,1.143035251292139,0.3737046521553563,0.7919755019561424,0.8275103927819595,0.8151766585279492,0.8534059065532255,0.0178070445539104,0.0333373987020364,1.0682415866005637,1.1740648733531005,1.090460357375535,1.1983040209006404
