setting,same_value_hold_sec,min_gap_new_event_sec,display_events,paired_events,pairing_rate,low_map_bias_art_lt55,HDR65_actual_nibp,ODR65_actual_nibp,NetBias65_actual_nibp,episode_sensitivity65,event_sensitivity65,specificity65
strict,60.0,60.0,29126,20464,0.8085022322310458,31.639455782312925,0.9255415768633153,0.5565274923562729,-0.36901408450704226,0.10290027810885975,0.11992669649113351,0.9588719515320505
primary,90.0,120.0,15950,10875,0.7945495725871264,29.59722222222222,0.9259505789183501,0.5509658663726129,-0.374984712545737,0.10250297973778308,0.11914515172748343,0.959177439030641
lenient,180.0,300.0,7813,4488,0.6796910495229441,30.81024096385542,0.9316685880406997,0.48851686632249014,-0.4431517217182096,0.09396106475963449,0.1077992777448391,0.9644199325467201
