duplicate_group,row_count,action
coverage_ge_80pct; time_window_anaesthetic_interval; map_range_20_180_primary; aggregation_10s_median_primary; aggregation_10s_mean_matched_primary_grid,5,retained_with_explicit_matched_grid_explanation
map_range_30_150_artifact_subset; artifact_exclusion_flatline_top5pct_removed,2,retained_with_identical_exclusion_set_explanation
