variable,outcome_evaluable_n,outcome_evaluable_mean,outcome_evaluable_sd,outcome_nonevaluable_n,outcome_nonevaluable_mean,outcome_nonevaluable_sd,standardized_mean_difference
"Age, yr",2246,61.47016918967053,13.030502186483112,189,58.05820105820106,13.829193563579006,0.25394633753704793
"Body mass index, kg/m2",2246,23.163891362422085,3.5314900033026393,189,23.055555555555557,3.269415546268843,0.03183560135318609
ASA Physical Status >=3,2246,0.13134461264470168,0.3378520776920094,139,0.06474820143884892,0.2469710155359484,0.22504778983053744
Emergency surgery,2246,0.09928762243989314,0.2991144019886326,189,0.20105820105820105,0.4018559890760881,-0.2873009170184374
Preoperative hypertension,2246,0.3517364203027605,0.47761854856522246,189,0.328042328042328,0.4707473441545835,0.049966939051525314
Preoperative diabetes,2246,0.13312555654496883,0.3397860315808836,189,0.09523809523809523,0.29432318939837065,0.11919227215138646
"Anaesthesia duration, h",2246,4.244330661917483,1.7242631497954128,189,3.5671957671987062,1.6093622960297511,0.40600424305498456
Reference AUC per anaesthesia-hour,2246,28.05147060766381,34.55971028115031,189,25.474850293294935,35.960617544383844,0.0730601271534852
