threshold,interval_min,n_cases_total,n_clusters_total,bootstrap_cluster,bootstrap_reps,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high
55.0,1.0,2435,2435,case_id,1000,748,1407.0,1407.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.3578535891968728,0.35164932667304577,0.3644222746477935,,,,,,
55.0,2.5,2435,2435,case_id,1000,748,1407.0,1057.9333333333334,349.06666666666666,0.7519071310116087,0.7374569353721505,0.7651133006849468,0.24809286898839136,0.23488669931505318,0.26254306462784954,,,,,,,,,,0.7210704308189972,0.6976368329729201,0.7439011708575084,,,,,,
55.0,3.0,2435,2435,case_id,1000,748,1407.0,961.8333333333334,445.16666666666663,0.683605780620706,0.6679527939624516,0.6999857169951914,0.31639421937929396,0.30001428300480865,0.33204720603754845,,,,,,,,,,0.7916113132713375,0.7630664926647964,0.8197697800232229,,,,,,
55.0,5.0,2435,2435,case_id,1000,748,1407.0,704.5666666666666,702.4333333333333,0.50075811419095,0.48196456478201516,0.5200260098268867,0.49924188580904993,0.4799739901731132,0.5180354352179849,,,,,,,,,,0.9595259497563514,0.9125723120570485,1.0118542610035521,,,,,,
55.0,10.0,2435,2435,case_id,1000,748,1407.0,440.01666666666665,966.9833333333332,0.3127339493011135,0.29488675145565046,0.33207877601167163,0.6872660506988865,0.6679212239883282,0.7051132485443495,,,,,,,,,,1.079384619269472,0.9928719978792921,1.1631902966081331,,,,,,
60.0,1.0,2435,2435,case_id,1000,1347,3905.0,3905.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.35607483283539626,0.35262018543926577,0.35945045615428034,,,,,,
60.0,2.5,2435,2435,case_id,1000,1347,3905.0,3110.4,794.6,0.79651728553137,0.7885731345689373,0.804483146262271,0.20348271446862998,0.19551685373772903,0.2114268654310627,,,,,,,,,,0.7407050182898948,0.7264964538280624,0.7544204531449169,,,,,,
60.0,3.0,2435,2435,case_id,1000,1347,3905.0,2876.9444444444443,1028.0555555555557,0.7367335325081804,0.7283063154513955,0.7459420668957316,0.26326646749181964,0.25405793310426844,0.2716936845486045,,,,,,,,,,0.8232177915097679,0.8050772302728413,0.8425299131100886,,,,,,
60.0,5.0,2435,2435,case_id,1000,1347,3905.0,2206.833333333333,1698.1666666666667,0.5651301749893298,0.5535180871582563,0.5767117639290066,0.4348698250106701,0.4232882360709935,0.44648191284174366,,,,,,,,,,1.0210130151297736,0.9853606782084756,1.0558007056544034,,,,,,
60.0,10.0,2435,2435,case_id,1000,1347,3905.0,1459.3166666666666,2445.6833333333334,0.37370465215535636,0.36111023898051486,0.38703257691421283,0.6262953478446436,0.6129674230857872,0.6388897610194852,,,,,,,,,,1.1432253299679835,1.076445819388368,1.208278362130179,,,,,,
65.0,1.0,2435,2435,case_id,1000,1899,9187.0,9187.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,0.3459296348705296,0.3434350781221404,0.3482828595983497,,,,,,
65.0,2.5,2435,2435,case_id,1000,1899,9187.0,7800.466666666667,1386.5333333333333,0.8490765937375278,0.843987987987988,0.8538918850486088,0.15092340626247233,0.1461081149513912,0.156012012012012,,,,,,,,,,0.7430381658077436,0.7328647805134201,0.7530390710146672,,,,,,
65.0,3.0,2435,2435,case_id,1000,1899,9187.0,7372.111111111111,1814.888888888889,0.802450322315349,0.7968539687283647,0.808155446141603,0.197549677684651,0.191844553858397,0.2031460312716354,,,,,,,,,,0.8381073314342843,0.825750836221593,0.8517255184904541,,,,,,
65.0,5.0,2435,2435,case_id,1000,1899,9187.0,6042.866666666667,3144.133333333333,0.657762780740902,0.6504166957393859,0.665287995310331,0.342237219259098,0.33471200468966905,0.3495833042606142,,,,,,,,,,1.090769097815974,1.06603313693563,1.1138492980618342,,,,,,
65.0,10.0,2435,2435,case_id,1000,1899,9187.0,4343.733333333334,4843.266666666666,0.4728130329088205,0.4641245247033414,0.4812176985977022,0.5271869670911795,0.5187823014022978,0.5358754752966588,,,,,,,,,,1.2968740407637054,1.2508990133377225,1.3405045735116055,,,,,,
