variable,selected_n,selected_mean,unselected_n,unselected_mean,standardised_mean_difference
age,500,59.776,2288,59.34090909090909,0.03092406715395627
sex_male,500,0.58,2288,0.5498251748251748,0.060856018750492555
asa_num,495,1.9252525252525252,2235,1.9167785234899328,0.013448200068529037
emergency,500,0.1,2288,0.10839160839160839,-0.027453369746077292
duration_min,500,228.07399999993336,2288,225.87194055952799,0.020036847695979496
