initial_display_episode_policy,policy_description,threshold,interval_min,n_cases_total,n_clusters_total,bootstrap_cluster,bootstrap_reps,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high
unavailable_before_first_scheduled_sample,Primary convention: no displayed value before the first scheduled sample.,65.0,5.0,2435,2380,subjectid,1000,1899,9187.0,6042.866666666667,3144.133333333333,0.657762780740902,0.6497059432223731,0.6657682756848902,0.342237219259098,0.33423172431510983,0.35029405677762687,0.5497478320815645,0.5399051012980192,0.5594620795032317,0.35702623272014805,0.34618227955062736,0.36786821105431156,0.3486012684339906,0.33120292940628737,0.36395611557908253,1.090769097815974,1.0659130872956935,1.1163934445700345,3.319968631517786,3.1849934617926943,3.4813678201493645,1.6121000334646176,1.5747888421006835,1.6492028141832293
baseline_initialized_at_first_reference,Initialize the display with the first finite reference value at analytic start.,65.0,5.0,2435,2380,subjectid,1000,1899,9187.0,6311.666666666667,2875.3333333333335,0.6870215159101629,0.679661629198053,0.694718794664752,0.3129784840898371,0.30528120533524805,0.32033837080194694,0.5886760277203295,0.5795172238153454,0.5979770582448687,0.3726896701861326,0.36190526167287923,0.3834484034772496,0.279832128988374,0.2663047766521802,0.2924251964482816,0.9926573365020684,0.9676727759542713,1.0166566133302062,3.2984675644749584,3.1680416910261955,3.45364737335906,1.5802939882052636,1.5444810001542895,1.6168928926977801
exclude_first_sampling_interval_then_initialize,"Exclude the first 5 min of the analytic interval, then initialize the display with the first finite remaining reference value.",65.0,5.0,2435,2380,subjectid,1000,1884,9099.0,6238.833333333334,2860.1666666666665,0.6856614279957505,0.6782854350625459,0.6933395755042967,0.31433857200424953,0.30666042449570335,0.321714564937454,0.586676191522878,0.5778620138675937,0.5961061449447245,0.37413635198007106,0.3629339623254342,0.38500640794021285,0.28353817080439214,0.2695397687291507,0.2971841311646456,1.0014977871574993,0.9768791443983993,1.0260920422211925,3.3091113901281397,3.176349613497051,3.4671860125655134,1.583370288248337,1.5471251964764234,1.6198448953987237
