threshold,paired_events,case_clusters,tp,fn,tn,fp,cases_with_tp,cases_with_fn,cases_with_tn,cases_with_fp,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,ci_method
55.0,58842,1908,138,652,57060,992,62,357,1898,159,0.1746835443037974,0.1305366997792494,0.2228983571057468,0.9829118721146558,0.9793232206775576,0.9859801673662616,case-cluster non-parametric bootstrap
60.0,58842,1908,502,1558,53906,2876,188,663,1885,395,0.2436893203883495,0.2102840687633467,0.281990607737839,0.949350146173083,0.9432891309435228,0.955083965702652,case-cluster non-parametric bootstrap
65.0,58842,1908,1741,3468,48346,5287,455,988,1861,629,0.3342292186600115,0.3064208994302957,0.3626946599968182,0.9014226315887608,0.8924191921838217,0.909781613106005,case-cluster non-parametric bootstrap
