threshold,mechanism,n_cases,HDR_ci_low,HDR_ci_high,ODR_ci_low,ODR_ci_high,NetBias_ci_low,NetBias_ci_high,HDR_display_valid_ci_low,HDR_display_valid_ci_high,ODR_display_valid_ci_low,ODR_display_valid_ci_high,HDR_unavailable_component_ci_low,HDR_unavailable_component_ci_high,HDR_valid_mismatch_component_ci_low,HDR_valid_mismatch_component_ci_high
55.0,actual_nibp_timing_plus_cuff,1993,0.9723107157283832,0.9869151032429921,0.21265214928938028,0.34428569112083984,-0.7703945977269424,-0.6318411990917637,0.9569491276180554,0.9803288285996666,0.3230497481344103,0.5254403220739385,0.3180864078605444,0.3627273104091837,0.6154042494950713,0.6639476448956545
55.0,actual_timing_only,1993,0.7852436057416039,0.8346820140382406,0.2560296573017062,0.3438221601262371,-0.5649497529103228,-0.4583570609324888,0.6784234202101881,0.7451167261638976,0.38945258794368315,0.5201504999344713,0.3182854474581115,0.36256682847247007,0.4488330042159771,0.49216305983353337
55.0,fixed_5min_frequency_only,1993,0.7782983644614276,0.8327284948080012,0.7012195755026195,0.863635963366258,-0.10916093083458547,0.05830729145898348,0.6605856195283444,0.7319113098465669,1.093137553411883,1.3599718142514312,0.338200080718651,0.38756968469294967,0.4216166548848055,0.46727332415388717
60.0,actual_nibp_timing_plus_cuff,1993,0.9427406485510352,0.9650250791772575,0.38618997067970456,0.5302177455852101,-0.5728817026996843,-0.42418989534633444,0.9046577647294977,0.941768131003848,0.6410176978811093,0.8800496048829808,0.37946861801783976,0.42031387096235956,0.529710486451885,0.5782951229817512
60.0,actual_timing_only,1993,0.7729282722023101,0.8096004610825042,0.24643865691656502,0.3060189728368167,-0.5525647449014329,-0.479740742065195,0.6268530990448064,0.6783857650226283,0.41332295287650833,0.5065814542512984,0.37935222265739305,0.4194011511431067,0.3757931933280044,0.4111956968849063
60.0,fixed_5min_frequency_only,1993,0.7051611516438627,0.7532129360420936,0.6543582797690074,0.7695874333957072,-0.08055074193563168,0.04012282242835471,0.613348062262565,0.6659653879878302,0.8700264478981625,1.0323088013096353,0.23175893409441786,0.26826166346289654,0.46226441607283125,0.4977974665518432
65.0,actual_nibp_timing_plus_cuff,1993,0.9057604435362998,0.9300422094002181,0.46099913031946815,0.5733319316644352,-0.46266705689820864,-0.3453889082087197,0.8241589442501176,0.8689257325910357,0.863499033233957,1.071426502422331,0.4467586148613008,0.48344897608331844,0.43197963759169,0.47337128199294887
65.0,actual_timing_only,1993,0.7484105940856758,0.7766670051693334,0.21378875988563034,0.24965853781387295,-0.5556735416181744,-0.5053624714122863,0.5356911077589045,0.575188791214704,0.40167101340436234,0.4641354434202959,0.4479602546460203,0.4822464056714161,0.2843431723684104,0.3092091898762996
65.0,fixed_5min_frequency_only,1993,0.586510427509014,0.6227983636298813,0.5605726866914936,0.6276461338297226,-0.04812063295100377,0.021124826681915565,0.5203554403677993,0.5569640741718164,0.6521500433625925,0.7360996944407285,0.13392605598932664,0.1539221075907299,0.4472671576945528,0.4748963070384269
