threshold,interval_min,duration_bin,nadir_bin,n_cases_total,n_clusters_total,bootstrap_cluster,bootstrap_reps,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high
55.0,5.0,1-<3 min,<55 mmHg,2435,2380,subjectid,1000,677,1113.0,452.9,660.1,0.40691823899371066,0.3942543089903426,0.4212190796540465,0.5930817610062893,0.5787809203459535,0.6057456910096575,0.25849056603773585,0.24289630108889237,0.27553719397363463,0.057172806229410005,0.04852841989876519,0.06583094295663501,0.7064217983732892,0.6774409906845975,0.7313266701954908,0.5567822182969014,0.5251402349800189,0.5895903517943999,1.160950418291995,1.1256197637750878,1.1954075475216792,2.1905865901229116,2.06125677803432,2.3101092047954657
55.0,5.0,3-<5 min,<55 mmHg,2435,2380,subjectid,1000,145,185.0,142.66666666666666,42.33333333333333,0.7711711711711711,0.7522106410308967,0.7873843904805679,0.2288288288288288,0.2126156095194321,0.24778935896910315,0.6239639639639639,0.602197747362418,0.6436634457910253,0.4500900900900901,0.4228156512605042,0.4756335282651072,0.5118063667812258,0.48488965689456687,0.5393137789750881,1.4729361370716512,1.397733960018284,1.552553903502281,2.2401479750778814,2.152699894790299,2.3151904499705633,1.970171339563863,1.7579122530759788,2.2076624331169032
55.0,5.0,>=5 min,<55 mmHg,2435,2380,subjectid,1000,80,109.0,109.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9743119266055046,0.9656223060344827,0.9828864280947613,0.9061162079510703,0.885347619047619,0.9258576018024033,0.21745262145262145,0.18796487363449604,0.2505667570587148,1.9609582059123343,1.8432434284792774,2.08607222397587,5.85249745158002,5.298746047877145,6.415265277777777,1.293730886850153,1.0872289191543223,1.5104590702733376
60.0,5.0,1-<3 min,55-<60 mmHg,2435,2380,subjectid,1000,733,1297.0,552.0666666666667,744.9333333333334,0.4256489334361347,0.4138532615070248,0.43889155440178357,0.5743510665638654,0.5611084455982164,0.5861467384929753,0.28406579285530714,0.2699464590569418,0.30013319659061627,0.060421485479311234,0.05219612229679344,0.07024458226260093,0.6691418466120626,0.6545049788274577,0.6838156485325317,0.48256047981322703,0.45980495697273016,0.5089873653434014,1.177947510365093,1.1504403741285916,1.2092432929464938,2.0374250291832707,1.9245252747270747,2.147979269743365
60.0,5.0,1-<3 min,<55 mmHg,2435,2380,subjectid,1000,845,1478.0,674.1333333333333,803.8666666666667,0.45611186287776273,0.4454961456095002,0.46780115890981944,0.5438881371222373,0.5321988410901806,0.5545038543904998,0.31434370771312586,0.30123217612424025,0.3288150100172876,0.0972936400541272,0.08750541840744087,0.10755055237218747,0.6775700481586501,0.6561457297096468,0.6974941730937461,0.5654832542194093,0.5318609676145073,0.5964013656813117,1.3090140427215189,1.2799414019971875,1.3395028739843322,1.9573773734177216,1.8525153912181025,2.055788604363826
60.0,5.0,3-<5 min,55-<60 mmHg,2435,2380,subjectid,1000,162,194.0,152.06666666666666,41.93333333333334,0.7838487972508591,0.7658890524250069,0.8005244791666666,0.2161512027491409,0.1994755208333333,0.23411094757499298,0.6412371134020619,0.6200355478616845,0.6621874999999999,0.47577319587628863,0.4484985649731314,0.5029937810945274,0.4843299034251664,0.4602142908882144,0.5102298682346906,1.43467777290662,1.340352945422489,1.5236755990264714,2.3484582785328074,2.2468319580693876,2.4457224563084683,1.847398801695163,1.6680677104526662,2.0262051697577834
60.0,5.0,3-<5 min,<55 mmHg,2435,2380,subjectid,1000,366,496.0,388.56666666666666,107.43333333333334,0.7834005376344086,0.7730376918420396,0.7936733456381379,0.2165994623655914,0.2063266543618622,0.22696230815796034,0.6438172043010753,0.631621535336244,0.6569169714568308,0.47661290322580646,0.4615357598978289,0.4940890985324948,0.4925354699771979,0.4719958367502706,0.509802385613074,1.4437962883532067,1.3882123657833705,1.5018206747652356,2.3579680306539705,2.300506860272661,2.419848398363735,2.032541248463012,1.929783462792209,2.127679064057656
60.0,5.0,>=5 min,55-<60 mmHg,2435,2380,subjectid,1000,55,61.0,61.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9628415300546448,0.949477819683908,0.9751266105370583,0.8677595628415301,0.837562656641604,0.8976878517047335,0.2873885452646799,0.25894686039461345,0.31520175052361227,1.9990892531876139,1.8630479302832244,2.126530504908836,4.544626593806922,4.17183859767025,4.964400631025662,1.3849726775956284,1.1107373737373738,1.6419400676937441
60.0,5.0,>=5 min,<55 mmHg,2435,2380,subjectid,1000,253,379.0,379.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9752858399296394,0.970341575091575,0.9801499231950845,0.9129287598944591,0.9000846354166666,0.9244783983140148,0.18946811167270639,0.1728096887291613,0.20985063298521972,1.8587510993843448,1.7897133697744774,1.9349112698577078,6.6117854001759016,6.072412696704453,7.16831286564177,1.534154206977426,1.4272973513450147,1.6467610669472372
65.0,5.0,1-<3 min,55-<60 mmHg,2435,2380,subjectid,1000,857,1540.0,785.3,754.7,0.5099350649350649,0.49958171023949755,0.521797585938925,0.4900649350649351,0.47820241406107494,0.5004182897605024,0.38231601731601733,0.37018145766687993,0.39655158957227127,0.13103896103896104,0.12014825594269328,0.14230866582068455,0.5991699010317132,0.5865445028470111,0.6104476158124107,0.5097132023147559,0.4847600330363605,0.5347209901486886,1.4103527314402138,1.3829554231065617,1.4371661060574255,1.7916931958062736,1.6992145275891133,1.875239770099601
