strategy,definition,threshold,n_cases,true_auc_total,display_auc_total,hidden_auc_total,overdisplay_auc_total,HDR,ODR,NetBias,measurement_burden,sample_count_total,trigger_count_total,selected_continuous_cases,HDR65,ODR65,hdr_reduction_vs_5min,relative_hdr_reduction_vs_5min,extra_measurements_per_hour,cost_domain,extra_cuff_inflations_per_hour,modality_burden_note,pareto_optimal,scenario_role
fixed_2_5min,Fixed every 2.5 min,65.0,2435,262221.8333333333,286670.5833333333,122396.66666666666,146845.41666666666,0.4667676413926885,0.5600045381423235,0.09323689674963502,24.0,232789,0,0,0.4667676413926885,0.5600045381423235,0.12811321965943595,0.2153594577456249,12.0,cuff_cadence,12.0,,False,hypothesis-generating monitoring policy scenario
fixed_3min,Fixed every 3 min,65.0,2435,262221.8333333333,281583.4166666666,131388.8333333333,150750.41666666666,0.5010598532667315,0.5748965093804165,0.07383665611368495,20.0,194264,0,0,0.5010598532667315,0.5748965093804165,0.09382100778539293,0.15771394564528135,8.0,cuff_cadence,8.0,,True,hypothesis-generating monitoring policy scenario
fixed_5min_reference,Fixed every 5 min,65.0,2435,262221.8333333333,274845.8333333333,155990.75,168614.75,0.5948808610521245,0.6430233053311732,0.04814244427904872,12.0,116953,0,0,0.5948808610521245,0.6430233053311732,0.0,0.0,0.0,cuff_cadence,0.0,,True,hypothesis-generating monitoring policy scenario
induction_intensified_first20min,"1-min sampling for first 20 min, then 5-min",65.0,2435,262221.8333333333,301487.5,133891.25,173156.91666666666,0.5106029818264561,0.6603451530542525,0.1497421712277963,16.95111477605436,155913,0,0,0.5106029818264561,0.6603451530542525,0.08427787922566832,0.14167186195335296,4.951114776054361,cuff_cadence,4.951114776054361,,True,hypothesis-generating monitoring policy scenario
selective_continuous_top20_oof,"OOF high-hidden-risk top 20 percent continuous reference, others 5-min",65.0,2435,262221.8333333333,274166.8333333333,103245.58333333331,115190.58333333333,0.3937337407068188,0.43928677436597896,0.04555303365916015,12.0,1175731,0,487,0.3937337407068188,0.43928677436597896,0.20114712034530563,0.33813009211550477,0.0,modality_change,,Continuous/reference monitoring changes device/staffing/insertion burden; not comparable as zero-cost cuff cadence.,False,hypothesis-generating monitoring policy scenario
threshold_triggered_adaptive,Rule-based 1-min escalation after displayed MAP <70,65.0,2435,262221.8333333333,207128.25,117527.0,62433.41666666666,0.4481968511393979,0.23809389124094038,-0.21010295989845754,20.81970167278465,202242,65982,0,0.4481968511393979,0.23809389124094038,0.14668400991272657,0.24657712075876292,8.81970167278465,cuff_cadence,8.81970167278465,,True,hypothesis-generating monitoring policy scenario
trend_triggered_adaptive,Rule-based 1-min escalation after downward trend or MAP <75,65.0,2435,262221.8333333333,227978.8333333333,106424.5,72181.5,0.4058567459739877,0.27526884044107697,-0.13058790553291075,27.88529822636406,271759,141414,0,0.4058567459739877,0.27526884044107697,0.18902411507813677,0.3177512128122982,15.88529822636406,cuff_cadence,15.88529822636406,,True,hypothesis-generating monitoring policy scenario
universal_1min_proxy,Fixed every 1 min proxy,65.0,2435,262221.8333333333,302151.8333333333,79231.75,119161.75,0.3021554269254213,0.454431076486766,0.1522756495613447,60.0,580271,0,0,0.3021554269254213,0.454431076486766,0.29272543412670315,0.4920740492625364,48.0,cuff_cadence,48.0,,True,hypothesis-generating monitoring policy scenario
universal_continuous_reference,All cases continuously observed; theoretical upper reference,65.0,2435,262221.8333333333,262221.8333333333,0.0,0.0,0.0,0.0,0.0,,3476213,0,2435,0.0,0.0,0.5948808610521245,1.0,,modality_change,,Continuous/reference monitoring changes device/staffing/insertion burden; not comparable as zero-cost cuff cadence.,True,hypothesis-generating monitoring policy scenario
