threshold,interval_min,n_cases_total,n_clusters_total,bootstrap_cluster,bootstrap_reps,cases_with_episodes,reference_episodes,expected_detected_episodes,expected_missed_episodes,episode_detection_probability,episode_detection_ci_low,episode_detection_ci_high,complete_miss_probability,complete_miss_ci_low,complete_miss_ci_high,detection_with_1min_remaining_probability,detection_with_1min_remaining_probability_ci_low,detection_with_1min_remaining_probability_ci_high,detection_with_2min_remaining_probability,detection_with_2min_remaining_probability_ci_low,detection_with_2min_remaining_probability_ci_high,reference_auc_before_first_low_display_fraction,reference_auc_before_first_low_display_fraction_ci_low,reference_auc_before_first_low_display_fraction_ci_high,mean_detection_delay_min,mean_detection_delay_min_ci_low,mean_detection_delay_min_ci_high,mean_remaining_reference_time_min,mean_remaining_reference_time_min_ci_low,mean_remaining_reference_time_min_ci_high,mean_stale_display_after_recovery_min,mean_stale_display_after_recovery_min_ci_low,mean_stale_display_after_recovery_min_ci_high
55.0,5.0,2435,2435,case_id,1000,748,1407.0,704.5666666666666,702.4333333333333,0.50075811419095,0.48196456478201516,0.5200260098268867,0.49924188580904993,0.4799739901731132,0.5180354352179849,0.3619995261786307,0.33993919981553794,0.3845152750907694,0.1746031746031746,0.15401246117347814,0.19516844863164914,0.5400250691616353,0.5034245704930771,0.5788926076795117,0.9595259497563514,0.9125723120570485,1.0118542610035521,2.105281418050496,1.9238050472722485,2.280512249416308,2.007206951475296,1.8931758186364673,2.1104335548163746
60.0,5.0,2435,2435,case_id,1000,1347,3905.0,2206.833333333333,1698.1666666666667,0.5651301749893298,0.5535180871582563,0.5767117639290066,0.4348698250106701,0.4232882360709934,0.44648191284174366,0.4366538625693555,0.42304696395746805,0.45054488610332255,0.24322663252240717,0.22881996507781935,0.2578798078610179,0.4573139132029222,0.43311659774502914,0.48413167921108496,1.0210130151297736,0.9853606782084756,1.0558007056544034,2.5326762832615866,2.363931331282982,2.693903133241905,1.8945522745009187,1.8378129641276393,1.954857312852241
65.0,5.0,2435,2435,case_id,1000,1899,9187.0,6042.866666666667,3144.133333333333,0.657762780740902,0.6504166957393859,0.6652879953103309,0.342237219259098,0.33471200468966905,0.34958330426061424,0.5497478320815645,0.5407247381929973,0.5588882038690198,0.35702623272014805,0.34729005192322565,0.3671467456256402,0.3486012684339906,0.3334619266197654,0.36312391729443644,1.090769097815974,1.06603313693563,1.1138492980618342,3.319968631517786,3.1895854255592084,3.450503673649667,1.6121000334646176,1.5722881556904358,1.6510608822572612
